<https://secure.actblue.com/donate/david-cicilline-2>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/david-cicilline-2>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 05:03:58 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/david-cicilline-2>; rel="timegate",
<http://web.archive.org/web/20190508050358/https://secure.actblue.com/donate/david-cicilline-2>; rel="first memento"; datetime="Wed, 08 May 2019 05:03:58 GMT",
<http://web.archive.org/web/20190508084037/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Wed, 08 May 2019 08:40:37 GMT",
<http://web.archive.org/web/20191202112717/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Mon, 02 Dec 2019 11:27:17 GMT",
<http://web.archive.org/web/20200817054123/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Mon, 17 Aug 2020 05:41:23 GMT",
<http://web.archive.org/web/20200928065050/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Mon, 28 Sep 2020 06:50:50 GMT",
<http://web.archive.org/web/20201004192415/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sun, 04 Oct 2020 19:24:15 GMT",
<http://web.archive.org/web/20201024002555/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sat, 24 Oct 2020 00:25:55 GMT",
<http://web.archive.org/web/20201101010117/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sun, 01 Nov 2020 01:01:17 GMT",
<http://web.archive.org/web/20201109063107/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Mon, 09 Nov 2020 06:31:07 GMT",
<http://web.archive.org/web/20201212123344/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sat, 12 Dec 2020 12:33:44 GMT",
<http://web.archive.org/web/20210509063044/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sun, 09 May 2021 06:30:44 GMT",
<http://web.archive.org/web/20210511192553/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Tue, 11 May 2021 19:25:53 GMT",
<http://web.archive.org/web/20210914210734/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Tue, 14 Sep 2021 21:07:34 GMT",
<http://web.archive.org/web/20211020172535/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Wed, 20 Oct 2021 17:25:35 GMT",
<http://web.archive.org/web/20211021195327/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Thu, 21 Oct 2021 19:53:27 GMT",
<http://web.archive.org/web/20211022101943/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Fri, 22 Oct 2021 10:19:43 GMT",
<http://web.archive.org/web/20211206044603/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Mon, 06 Dec 2021 04:46:03 GMT",
<http://web.archive.org/web/20220305111527/https://secure.actblue.com/donate/david-cicilline-2>; rel="memento"; datetime="Sat, 05 Mar 2022 11:15:27 GMT",
