<https://secure.actblue.com/donate/joe-general>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/joe-general>; rel="self"; type="application/link-format"; from="Sun, 07 Jan 2018 01:18:12 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/joe-general>; rel="timegate",
<http://web.archive.org/web/20180107011812/https://secure.actblue.com/donate/joe-general>; rel="first memento"; datetime="Sun, 07 Jan 2018 01:18:12 GMT",
<http://web.archive.org/web/20180816052500/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Thu, 16 Aug 2018 05:25:00 GMT",
<http://web.archive.org/web/20190401070153/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Mon, 01 Apr 2019 07:01:53 GMT",
<http://web.archive.org/web/20190416015607/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Tue, 16 Apr 2019 01:56:07 GMT",
<http://web.archive.org/web/20190724203541/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Wed, 24 Jul 2019 20:35:41 GMT",
<http://web.archive.org/web/20200103152637/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Fri, 03 Jan 2020 15:26:37 GMT",
<http://web.archive.org/web/20200618190021/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Thu, 18 Jun 2020 19:00:21 GMT",
<http://web.archive.org/web/20200705033902/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 05 Jul 2020 03:39:02 GMT",
<http://web.archive.org/web/20201004113609/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 04 Oct 2020 11:36:09 GMT",
<http://web.archive.org/web/20201004192543/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 04 Oct 2020 19:25:43 GMT",
<http://web.archive.org/web/20201024002739/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 24 Oct 2020 00:27:39 GMT",
<http://web.archive.org/web/20201101065751/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 01 Nov 2020 06:57:51 GMT",
<http://web.archive.org/web/20201105061635/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Thu, 05 Nov 2020 06:16:35 GMT",
<http://web.archive.org/web/20201105062056/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Thu, 05 Nov 2020 06:20:56 GMT",
<http://web.archive.org/web/20201105211851/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Thu, 05 Nov 2020 21:18:51 GMT",
<http://web.archive.org/web/20201108015839/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 08 Nov 2020 01:58:39 GMT",
<http://web.archive.org/web/20201108212332/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 08 Nov 2020 21:23:32 GMT",
<http://web.archive.org/web/20201110011912/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Tue, 10 Nov 2020 01:19:12 GMT",
<http://web.archive.org/web/20201111142049/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Wed, 11 Nov 2020 14:20:49 GMT",
<http://web.archive.org/web/20201114202734/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 14 Nov 2020 20:27:34 GMT",
<http://web.archive.org/web/20201114221528/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 14 Nov 2020 22:15:28 GMT",
<http://web.archive.org/web/20201115093234/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 15 Nov 2020 09:32:34 GMT",
<http://web.archive.org/web/20201115223028/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sun, 15 Nov 2020 22:30:28 GMT",
<http://web.archive.org/web/20201116005114/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Mon, 16 Nov 2020 00:51:14 GMT",
<http://web.archive.org/web/20201116070319/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Mon, 16 Nov 2020 07:03:19 GMT",
<http://web.archive.org/web/20201116140739/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Mon, 16 Nov 2020 14:07:39 GMT",
<http://web.archive.org/web/20201116150210/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Mon, 16 Nov 2020 15:02:10 GMT",
<http://web.archive.org/web/20201117063117/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Tue, 17 Nov 2020 06:31:17 GMT",
<http://web.archive.org/web/20201117195931/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Tue, 17 Nov 2020 19:59:31 GMT",
<http://web.archive.org/web/20201118001907/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Wed, 18 Nov 2020 00:19:07 GMT",
<http://web.archive.org/web/20201121162432/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 21 Nov 2020 16:24:32 GMT",
<http://web.archive.org/web/20201121171024/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 21 Nov 2020 17:10:24 GMT",
<http://web.archive.org/web/20201121204936/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 21 Nov 2020 20:49:36 GMT",
<http://web.archive.org/web/20201212123439/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Sat, 12 Dec 2020 12:34:39 GMT",
<http://web.archive.org/web/20210106165144/https://secure.actblue.com/donate/joe-general>; rel="memento"; datetime="Wed, 06 Jan 2021 16:51:44 GMT",
