<https://secure.winred.com/joewilson/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/joewilson/donate>; rel="self"; type="application/link-format"; from="Wed, 27 May 2020 04:19:49 GMT",
<http://web.archive.org/web/https://secure.winred.com/joewilson/donate>; rel="timegate",
<http://web.archive.org/web/20200527041949/https://secure.winred.com/joewilson/donate>; rel="first memento"; datetime="Wed, 27 May 2020 04:19:49 GMT",
<http://web.archive.org/web/20200817055529/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 05:55:29 GMT",
<http://web.archive.org/web/20200922142434/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 14:24:34 GMT",
<http://web.archive.org/web/20201004202205/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 20:22:05 GMT",
<http://web.archive.org/web/20201030072402/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 07:24:02 GMT",
<http://web.archive.org/web/20201031030520/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 03:05:20 GMT",
<http://web.archive.org/web/20201101193714/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 19:37:14 GMT",
<http://web.archive.org/web/20201105061008/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 06:10:08 GMT",
<http://web.archive.org/web/20201105061020/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 06:10:20 GMT",
<http://web.archive.org/web/20201105063119/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 06:31:19 GMT",
<http://web.archive.org/web/20201106072518/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:25:18 GMT",
<http://web.archive.org/web/20201106122359/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:23:59 GMT",
<http://web.archive.org/web/20201109060033/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 06:00:33 GMT",
<http://web.archive.org/web/20201109060122/https://secure.winred.com/joewilson/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 06:01:22 GMT",
