<https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="self"; type="application/link-format"; from="Tue, 29 Oct 2019 17:32:39 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20191029173239/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="first memento"; datetime="Tue, 29 Oct 2019 17:32:39 GMT",
<http://web.archive.org/web/20191128104123/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Thu, 28 Nov 2019 10:41:23 GMT",
<http://web.archive.org/web/20191220021247/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Fri, 20 Dec 2019 02:12:47 GMT",
<http://web.archive.org/web/20200406174724/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Mon, 06 Apr 2020 17:47:24 GMT",
<http://web.archive.org/web/20200727110958/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Mon, 27 Jul 2020 11:09:58 GMT",
<http://web.archive.org/web/20200817055616/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Mon, 17 Aug 2020 05:56:16 GMT",
<http://web.archive.org/web/20200928064841/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:48:41 GMT",
<http://web.archive.org/web/20201004023759/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 02:37:59 GMT",
<http://web.archive.org/web/20201024003406/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Sat, 24 Oct 2020 00:34:06 GMT",
<http://web.archive.org/web/20201101012507/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 01:25:07 GMT",
<http://web.archive.org/web/20201109061120/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Mon, 09 Nov 2020 06:11:20 GMT",
<http://web.archive.org/web/20201115100338/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Sun, 15 Nov 2020 10:03:38 GMT",
<http://web.archive.org/web/20201117025515/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Tue, 17 Nov 2020 02:55:15 GMT",
<http://web.archive.org/web/20201117025520/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Tue, 17 Nov 2020 02:55:20 GMT",
<http://web.archive.org/web/20201117025527/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Tue, 17 Nov 2020 02:55:27 GMT",
<http://web.archive.org/web/20201117025842/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Tue, 17 Nov 2020 02:58:42 GMT",
<http://web.archive.org/web/20201119173050/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Thu, 19 Nov 2020 17:30:50 GMT",
<http://web.archive.org/web/20201212123851/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 12:38:51 GMT",
<http://web.archive.org/web/20211123134017/https://secure.actblue.com/donate/kim-nelson-for-congress-1>; rel="memento"; datetime="Tue, 23 Nov 2021 13:40:17 GMT",
