<https://secure.winred.com/ralphnorman/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/ralphnorman/contribute>; rel="self"; type="application/link-format"; from="Wed, 18 Mar 2020 19:49:14 GMT",
<http://web.archive.org/web/https://secure.winred.com/ralphnorman/contribute>; rel="timegate",
<http://web.archive.org/web/20200318194914/https://secure.winred.com/ralphnorman/contribute>; rel="first memento"; datetime="Wed, 18 Mar 2020 19:49:14 GMT",
<http://web.archive.org/web/20200812055450/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 12 Aug 2020 05:54:50 GMT",
<http://web.archive.org/web/20200817055621/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Mon, 17 Aug 2020 05:56:21 GMT",
<http://web.archive.org/web/20200916044019/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 16 Sep 2020 04:40:19 GMT",
<http://web.archive.org/web/20200916044021/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 16 Sep 2020 04:40:21 GMT",
<http://web.archive.org/web/20200916044023/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 16 Sep 2020 04:40:23 GMT",
<http://web.archive.org/web/20200924200027/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Thu, 24 Sep 2020 20:00:27 GMT",
<http://web.archive.org/web/20200930031533/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 30 Sep 2020 03:15:33 GMT",
<http://web.archive.org/web/20200930031537/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 30 Sep 2020 03:15:37 GMT",
<http://web.archive.org/web/20200930031539/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 30 Sep 2020 03:15:39 GMT",
<http://web.archive.org/web/20201007042345/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 07 Oct 2020 04:23:45 GMT",
<http://web.archive.org/web/20201007042348/https://secure.winred.com/ralphnorman/contribute>; rel="memento"; datetime="Wed, 07 Oct 2020 04:23:48 GMT",
