<https://www.chuckforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.chuckforcongress.com/donate>; rel="self"; type="application/link-format"; from="Fri, 05 Oct 2018 20:11:45 GMT",
<http://web.archive.org/web/https://www.chuckforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20181005201145/https://www.chuckforcongress.com/donate>; rel="first memento"; datetime="Fri, 05 Oct 2018 20:11:45 GMT",
<http://web.archive.org/web/20181017145846/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Wed, 17 Oct 2018 14:58:46 GMT",
<http://web.archive.org/web/20181024034724/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Wed, 24 Oct 2018 03:47:24 GMT",
<http://web.archive.org/web/20200817062703/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 06:27:03 GMT",
<http://web.archive.org/web/20200920114116/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 11:41:16 GMT",
<http://web.archive.org/web/20201005104336/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:43:36 GMT",
<http://web.archive.org/web/20201005104352/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:43:52 GMT",
<http://web.archive.org/web/20201024152926/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sat, 24 Oct 2020 15:29:26 GMT",
<http://web.archive.org/web/20201109035506/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 03:55:06 GMT",
<http://web.archive.org/web/20201109035531/http://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 03:55:31 GMT",
<http://web.archive.org/web/20201109035531/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 03:55:31 GMT",
<http://web.archive.org/web/20201109041946/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 04:19:46 GMT",
<http://web.archive.org/web/20201203175324/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Thu, 03 Dec 2020 17:53:24 GMT",
<http://web.archive.org/web/20201213085747/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:57:47 GMT",
<http://web.archive.org/web/20210128160028/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Thu, 28 Jan 2021 16:00:28 GMT",
<http://web.archive.org/web/20210307093544/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sun, 07 Mar 2021 09:35:44 GMT",
<http://web.archive.org/web/20210508200027/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sat, 08 May 2021 20:00:27 GMT",
<http://web.archive.org/web/20210630054459/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Wed, 30 Jun 2021 05:44:59 GMT",
<http://web.archive.org/web/20211017202335/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 20:23:35 GMT",
<http://web.archive.org/web/20211018133416/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 13:34:16 GMT",
<http://web.archive.org/web/20211020090059/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 09:00:59 GMT",
<http://web.archive.org/web/20211021022749/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 02:27:49 GMT",
<http://web.archive.org/web/20211021031225/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 03:12:25 GMT",
<http://web.archive.org/web/20211022201612/https://www.chuckforcongress.com/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 20:16:12 GMT",
