<https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="self"; type="application/link-format"; from="Wed, 17 Oct 2018 14:55:19 GMT",
<http://web.archive.org/web/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="timegate",
<http://web.archive.org/web/20181017145519/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="first memento"; datetime="Wed, 17 Oct 2018 14:55:19 GMT",
<http://web.archive.org/web/20200812033453/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Wed, 12 Aug 2020 03:34:53 GMT",
<http://web.archive.org/web/20200817062748/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Mon, 17 Aug 2020 06:27:48 GMT",
<http://web.archive.org/web/20200921091712/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Mon, 21 Sep 2020 09:17:12 GMT",
<http://web.archive.org/web/20201004180651/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sun, 04 Oct 2020 18:06:51 GMT",
<http://web.archive.org/web/20201029193013/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Thu, 29 Oct 2020 19:30:13 GMT",
<http://web.archive.org/web/20201108232151/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sun, 08 Nov 2020 23:21:51 GMT",
<http://web.archive.org/web/20201128105342/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sat, 28 Nov 2020 10:53:42 GMT",
<http://web.archive.org/web/20201212184748/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sat, 12 Dec 2020 18:47:48 GMT",
<http://web.archive.org/web/20210121111059/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Thu, 21 Jan 2021 11:10:59 GMT",
<http://web.archive.org/web/20210302074855/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Tue, 02 Mar 2021 07:48:55 GMT",
<http://web.archive.org/web/20210416224337/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Fri, 16 Apr 2021 22:43:37 GMT",
<http://web.archive.org/web/20210509035214/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sun, 09 May 2021 03:52:14 GMT",
<http://web.archive.org/web/20210516113335/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sun, 16 May 2021 11:33:35 GMT",
<http://web.archive.org/web/20210612111133/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sat, 12 Jun 2021 11:11:33 GMT",
<http://web.archive.org/web/20210612111133/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Sat, 12 Jun 2021 11:11:33 GMT",
<http://web.archive.org/web/20210628104201/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Mon, 28 Jun 2021 10:42:01 GMT",
<http://web.archive.org/web/20211021075734/https://secure.anedot.com/desjarlais-for-congress/general-fund-c20e80656b131663d1cf7>; rel="memento"; datetime="Thu, 21 Oct 2021 07:57:34 GMT",
