<https://secure.actblue.com/donate/christopherhale>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/christopherhale>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 05:10:50 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/christopherhale>; rel="timegate",
<http://web.archive.org/web/20190508051050/https://secure.actblue.com/donate/christopherhale>; rel="first memento"; datetime="Wed, 08 May 2019 05:10:50 GMT",
<http://web.archive.org/web/20190508094903/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Wed, 08 May 2019 09:49:03 GMT",
<http://web.archive.org/web/20200422174742/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Wed, 22 Apr 2020 17:47:42 GMT",
<http://web.archive.org/web/20200529203100/http://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Fri, 29 May 2020 20:31:00 GMT",
<http://web.archive.org/web/20200928064041/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Mon, 28 Sep 2020 06:40:41 GMT",
<http://web.archive.org/web/20201024004622/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sat, 24 Oct 2020 00:46:22 GMT",
<http://web.archive.org/web/20201024205856/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sat, 24 Oct 2020 20:58:56 GMT",
<http://web.archive.org/web/20201031095651/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sat, 31 Oct 2020 09:56:51 GMT",
<http://web.archive.org/web/20201101011721/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 01 Nov 2020 01:17:21 GMT",
<http://web.archive.org/web/20201108012405/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:24:05 GMT",
<http://web.archive.org/web/20201108013552/http://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:52 GMT",
<http://web.archive.org/web/20201108013553/http://secure.actblue.com/donate/ChristopherHale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:53 GMT",
<http://web.archive.org/web/20201108013553/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:53 GMT",
<http://web.archive.org/web/20201108013554/http://secure.actblue.com/donate/ChristopherHale/>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:54 GMT",
<http://web.archive.org/web/20201108013554/https://secure.actblue.com/donate/ChristopherHale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:54 GMT",
<http://web.archive.org/web/20201108013555/https://secure.actblue.com/donate/Christopherhale/>; rel="memento"; datetime="Sun, 08 Nov 2020 01:35:55 GMT",
<http://web.archive.org/web/20201108013624/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 08 Nov 2020 01:36:24 GMT",
<http://web.archive.org/web/20201108021833/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sun, 08 Nov 2020 02:18:33 GMT",
<http://web.archive.org/web/20201109041051/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Mon, 09 Nov 2020 04:10:51 GMT",
<http://web.archive.org/web/20201212124729/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Sat, 12 Dec 2020 12:47:29 GMT",
<http://web.archive.org/web/20210224070405/http://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Wed, 24 Feb 2021 07:04:05 GMT",
<http://web.archive.org/web/20211105133342/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Fri, 05 Nov 2021 13:33:42 GMT",
<http://web.archive.org/web/20211105133650/https://secure.actblue.com/donate/christopherhale>; rel="memento"; datetime="Fri, 05 Nov 2021 13:36:50 GMT",
