<http://www.cooperforcongress.com/form/-8877775747779720448>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="self"; type="application/link-format"; from="Mon, 08 Aug 2016 19:17:58 GMT",
<http://web.archive.org/web/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="timegate",
<http://web.archive.org/web/20160808191758/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="first memento"; datetime="Mon, 08 Aug 2016 19:17:58 GMT",
<http://web.archive.org/web/20160923213702/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Fri, 23 Sep 2016 21:37:02 GMT",
<http://web.archive.org/web/20161006191355/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Thu, 06 Oct 2016 19:13:55 GMT",
<http://web.archive.org/web/20161011221330/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Tue, 11 Oct 2016 22:13:30 GMT",
<http://web.archive.org/web/20161019173535/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Wed, 19 Oct 2016 17:35:35 GMT",
<http://web.archive.org/web/20161029011356/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sat, 29 Oct 2016 01:13:56 GMT",
<http://web.archive.org/web/20161215140427/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Thu, 15 Dec 2016 14:04:27 GMT",
<http://web.archive.org/web/20171110054215/http://www.cooperforcongress.com:80/form/-8877775747779720448>; rel="memento"; datetime="Fri, 10 Nov 2017 05:42:15 GMT",
<http://web.archive.org/web/20180714082542/http://www.cooperforcongress.com:80/form/-8877775747779720448>; rel="memento"; datetime="Sat, 14 Jul 2018 08:25:42 GMT",
<http://web.archive.org/web/20180913070811/http://www.cooperforcongress.com:80/form/-8877775747779720448>; rel="memento"; datetime="Thu, 13 Sep 2018 07:08:11 GMT",
<http://web.archive.org/web/20181005205445/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Fri, 05 Oct 2018 20:54:45 GMT",
<http://web.archive.org/web/20181017152817/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Wed, 17 Oct 2018 15:28:17 GMT",
<http://web.archive.org/web/20181116011506/http://www.cooperforcongress.com:80/form/-8877775747779720448>; rel="memento"; datetime="Fri, 16 Nov 2018 01:15:06 GMT",
<http://web.archive.org/web/20190127185033/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 27 Jan 2019 18:50:33 GMT",
<http://web.archive.org/web/20200426190751/http://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 26 Apr 2020 19:07:51 GMT",
<http://web.archive.org/web/20200506165735/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Wed, 06 May 2020 16:57:35 GMT",
<http://web.archive.org/web/20200710201919/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Fri, 10 Jul 2020 20:19:19 GMT",
<http://web.archive.org/web/20200712155532/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 12 Jul 2020 15:55:32 GMT",
<http://web.archive.org/web/20200809080839/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 09 Aug 2020 08:08:39 GMT",
<http://web.archive.org/web/20200817062747/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Mon, 17 Aug 2020 06:27:47 GMT",
<http://web.archive.org/web/20200818063800/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Tue, 18 Aug 2020 06:38:00 GMT",
<http://web.archive.org/web/20200823062815/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 23 Aug 2020 06:28:15 GMT",
<http://web.archive.org/web/20200922010152/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Tue, 22 Sep 2020 01:01:52 GMT",
<http://web.archive.org/web/20201030071543/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Fri, 30 Oct 2020 07:15:43 GMT",
<http://web.archive.org/web/20201109040914/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Mon, 09 Nov 2020 04:09:14 GMT",
<http://web.archive.org/web/20201125075433/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Wed, 25 Nov 2020 07:54:33 GMT",
<http://web.archive.org/web/20201213085907/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sun, 13 Dec 2020 08:59:07 GMT",
<http://web.archive.org/web/20210119144628/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Tue, 19 Jan 2021 14:46:28 GMT",
<http://web.archive.org/web/20210225215258/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Thu, 25 Feb 2021 21:52:58 GMT",
<http://web.archive.org/web/20210415014622/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Thu, 15 Apr 2021 01:46:22 GMT",
<http://web.archive.org/web/20210508195103/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sat, 08 May 2021 19:51:03 GMT",
<http://web.archive.org/web/20210515172407/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Sat, 15 May 2021 17:24:07 GMT",
<http://web.archive.org/web/20210629015251/https://www.cooperforcongress.com/form/-8877775747779720448>; rel="memento"; datetime="Tue, 29 Jun 2021 01:52:51 GMT",
