<https://secure.actblue.com/donate/russellfostertx>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/russellfostertx>; rel="self"; type="application/link-format"; from="Sun, 29 Dec 2019 07:21:05 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/russellfostertx>; rel="timegate",
<http://web.archive.org/web/20191229072105/https://secure.actblue.com/donate/russellfostertx>; rel="first memento"; datetime="Sun, 29 Dec 2019 07:21:05 GMT",
<http://web.archive.org/web/20200209174656/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sun, 09 Feb 2020 17:46:56 GMT",
<http://web.archive.org/web/20200529114657/http://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Fri, 29 May 2020 11:46:57 GMT",
<http://web.archive.org/web/20200610151500/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Wed, 10 Jun 2020 15:15:00 GMT",
<http://web.archive.org/web/20200817064907/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Mon, 17 Aug 2020 06:49:07 GMT",
<http://web.archive.org/web/20200928065014/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Mon, 28 Sep 2020 06:50:14 GMT",
<http://web.archive.org/web/20201024212329/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 24 Oct 2020 21:23:29 GMT",
<http://web.archive.org/web/20201031101723/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 31 Oct 2020 10:17:23 GMT",
<http://web.archive.org/web/20201101021942/http://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sun, 01 Nov 2020 02:19:42 GMT",
<http://web.archive.org/web/20201102120048/http://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Mon, 02 Nov 2020 12:00:48 GMT",
<http://web.archive.org/web/20201102120306/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Mon, 02 Nov 2020 12:03:06 GMT",
<http://web.archive.org/web/20201104183212/http://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Wed, 04 Nov 2020 18:32:12 GMT",
<http://web.archive.org/web/20201108205635/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sun, 08 Nov 2020 20:56:35 GMT",
<http://web.archive.org/web/20201117223523/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Tue, 17 Nov 2020 22:35:23 GMT",
<http://web.archive.org/web/20201120235808/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Fri, 20 Nov 2020 23:58:08 GMT",
<http://web.archive.org/web/20201121015611/http://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 21 Nov 2020 01:56:11 GMT",
<http://web.archive.org/web/20201121015611/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 21 Nov 2020 01:56:11 GMT",
<http://web.archive.org/web/20201121015612/http://secure.actblue.com/donate/russellfosterTX>; rel="memento"; datetime="Sat, 21 Nov 2020 01:56:12 GMT",
<http://web.archive.org/web/20201121015612/https://secure.actblue.com/donate/russellfosterTX>; rel="memento"; datetime="Sat, 21 Nov 2020 01:56:12 GMT",
<http://web.archive.org/web/20201121020454/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 21 Nov 2020 02:04:54 GMT",
<http://web.archive.org/web/20201212130154/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Sat, 12 Dec 2020 13:01:54 GMT",
<http://web.archive.org/web/20210716073146/https://secure.actblue.com/donate/russellfostertx>; rel="memento"; datetime="Fri, 16 Jul 2021 07:31:46 GMT",
