<https://secure.winred.com/wesleyfortexas/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/wesleyfortexas/donate/>; rel="self"; type="application/link-format"; from="Sat, 04 Apr 2020 06:04:27 GMT",
<http://web.archive.org/web/https://secure.winred.com/wesleyfortexas/donate/>; rel="timegate",
<http://web.archive.org/web/20200404060427/https://secure.winred.com/wesleyfortexas/donate>; rel="first memento"; datetime="Sat, 04 Apr 2020 06:04:27 GMT",
<http://web.archive.org/web/20200427144135/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Mon, 27 Apr 2020 14:41:35 GMT",
<http://web.archive.org/web/20200817064951/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Mon, 17 Aug 2020 06:49:51 GMT",
<http://web.archive.org/web/20200821003924/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Fri, 21 Aug 2020 00:39:24 GMT",
<http://web.archive.org/web/20200927104255/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 10:42:55 GMT",
<http://web.archive.org/web/20201003185916/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 18:59:16 GMT",
<http://web.archive.org/web/20201106073737/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:37:37 GMT",
<http://web.archive.org/web/20201106124849/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:48:49 GMT",
<http://web.archive.org/web/20201117024314/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 02:43:14 GMT",
<http://web.archive.org/web/20201117030837/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 03:08:37 GMT",
<http://web.archive.org/web/20201122151430/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 15:14:30 GMT",
<http://web.archive.org/web/20201122155229/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 15:52:29 GMT",
<http://web.archive.org/web/20201126041906/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 04:19:06 GMT",
<http://web.archive.org/web/20201126200134/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 20:01:34 GMT",
<http://web.archive.org/web/20201213090708/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Sun, 13 Dec 2020 09:07:08 GMT",
<http://web.archive.org/web/20210204134752/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Thu, 04 Feb 2021 13:47:52 GMT",
<http://web.archive.org/web/20210331035704/https://secure.winred.com/wesleyfortexas/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:57:04 GMT",
<http://web.archive.org/web/20210707164326/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Wed, 07 Jul 2021 16:43:26 GMT",
<http://web.archive.org/web/20211017100234/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Sun, 17 Oct 2021 10:02:34 GMT",
<http://web.archive.org/web/20211018001431/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Mon, 18 Oct 2021 00:14:31 GMT",
<http://web.archive.org/web/20211019013433/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Tue, 19 Oct 2021 01:34:33 GMT",
<http://web.archive.org/web/20211019233749/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Tue, 19 Oct 2021 23:37:49 GMT",
<http://web.archive.org/web/20211031001735/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Sun, 31 Oct 2021 00:17:35 GMT",
<http://web.archive.org/web/20220204235227/https://secure.winred.com/wesleyfortexas/donate/>; rel="memento"; datetime="Fri, 04 Feb 2022 23:52:27 GMT",
