<https://secure.winred.com/august-pfluger-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 28 Sep 2019 23:14:44 GMT",
<http://web.archive.org/web/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20190928231444/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="first memento"; datetime="Sat, 28 Sep 2019 23:14:44 GMT",
<http://web.archive.org/web/20191215115110/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 15 Dec 2019 11:51:10 GMT",
<http://web.archive.org/web/20200408125457/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 08 Apr 2020 12:54:57 GMT",
<http://web.archive.org/web/20200601204448/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Mon, 01 Jun 2020 20:44:48 GMT",
<http://web.archive.org/web/20200601213245/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Mon, 01 Jun 2020 21:32:45 GMT",
<http://web.archive.org/web/20200807093142/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:31:42 GMT",
<http://web.archive.org/web/20200817065104/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 06:51:04 GMT",
<http://web.archive.org/web/20200927111243/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 11:12:43 GMT",
<http://web.archive.org/web/20201014130508/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 14 Oct 2020 13:05:08 GMT",
<http://web.archive.org/web/20201102031209/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 03:12:09 GMT",
<http://web.archive.org/web/20201106060115/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 06:01:15 GMT",
<http://web.archive.org/web/20201106060936/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 06:09:36 GMT",
<http://web.archive.org/web/20201106073738/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:37:38 GMT",
<http://web.archive.org/web/20201106124851/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:48:51 GMT",
<http://web.archive.org/web/20201107064900/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:49:00 GMT",
<http://web.archive.org/web/20201108085055/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 08:50:55 GMT",
<http://web.archive.org/web/20201117024300/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 02:43:00 GMT",
<http://web.archive.org/web/20201117030746/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 03:07:46 GMT",
<http://web.archive.org/web/20201126044418/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 04:44:18 GMT",
<http://web.archive.org/web/20201126203903/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 20:39:03 GMT",
<http://web.archive.org/web/20201130173557/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 17:35:57 GMT",
<http://web.archive.org/web/20201213091440/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 09:14:40 GMT",
<http://web.archive.org/web/20210101050517/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 05:05:17 GMT",
<http://web.archive.org/web/20210101154106/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 15:41:06 GMT",
<http://web.archive.org/web/20210127133017/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 27 Jan 2021 13:30:17 GMT",
<http://web.archive.org/web/20210203110232/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 03 Feb 2021 11:02:32 GMT",
<http://web.archive.org/web/20210311024722/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Thu, 11 Mar 2021 02:47:22 GMT",
<http://web.archive.org/web/20210331040248/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:02:48 GMT",
<http://web.archive.org/web/20210417083207/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 08:32:07 GMT",
<http://web.archive.org/web/20210508191637/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 19:16:37 GMT",
<http://web.archive.org/web/20211017073806/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 07:38:06 GMT",
<http://web.archive.org/web/20211017212932/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 21:29:32 GMT",
<http://web.archive.org/web/20211019213557/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 21:35:57 GMT",
<http://web.archive.org/web/20211020085919/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 08:59:19 GMT",
<http://web.archive.org/web/20220119070100/https://secure.winred.com/august-pfluger-for-congress/donate>; rel="memento"; datetime="Wed, 19 Jan 2022 07:01:00 GMT",
