<https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="self"; type="application/link-format"; from="Sun, 31 May 2020 12:20:19 GMT",
<http://web.archive.org/web/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="timegate",
<http://web.archive.org/web/20200531122019/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="first memento"; datetime="Sun, 31 May 2020 12:20:19 GMT",
<http://web.archive.org/web/20200608085557/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Mon, 08 Jun 2020 08:55:57 GMT",
<http://web.archive.org/web/20200611090917/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Thu, 11 Jun 2020 09:09:17 GMT",
<http://web.archive.org/web/20200817065209/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Mon, 17 Aug 2020 06:52:09 GMT",
<http://web.archive.org/web/20200926091950/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 26 Sep 2020 09:19:50 GMT",
<http://web.archive.org/web/20201104034441/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Wed, 04 Nov 2020 03:44:41 GMT",
<http://web.archive.org/web/20201106072239/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Fri, 06 Nov 2020 07:22:39 GMT",
<http://web.archive.org/web/20201106121913/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Fri, 06 Nov 2020 12:19:13 GMT",
<http://web.archive.org/web/20201114010420/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:04:20 GMT",
<http://web.archive.org/web/20201114010428/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:04:28 GMT",
<http://web.archive.org/web/20201114010431/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:04:31 GMT",
<http://web.archive.org/web/20201114010433/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:04:33 GMT",
<http://web.archive.org/web/20201114010451/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:04:51 GMT",
<http://web.archive.org/web/20201114010510/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:05:10 GMT",
<http://web.archive.org/web/20201114010513/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:05:13 GMT",
<http://web.archive.org/web/20201114010515/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:05:15 GMT",
<http://web.archive.org/web/20201114010517/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:05:17 GMT",
<http://web.archive.org/web/20201114010518/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 01:05:18 GMT",
<http://web.archive.org/web/20201114044630/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 04:46:30 GMT",
<http://web.archive.org/web/20201114044912/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 14 Nov 2020 04:49:12 GMT",
<http://web.archive.org/web/20201117033237/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Tue, 17 Nov 2020 03:32:37 GMT",
<http://web.archive.org/web/20201118052343/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Wed, 18 Nov 2020 05:23:43 GMT",
<http://web.archive.org/web/20201121004207/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 21 Nov 2020 00:42:07 GMT",
<http://web.archive.org/web/20201123195220/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Mon, 23 Nov 2020 19:52:20 GMT",
<http://web.archive.org/web/20201125225139/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 22:51:39 GMT",
<http://web.archive.org/web/20201126095211/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Thu, 26 Nov 2020 09:52:11 GMT",
<http://web.archive.org/web/20201213092310/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sun, 13 Dec 2020 09:23:10 GMT",
<http://web.archive.org/web/20210305140048/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Fri, 05 Mar 2021 14:00:48 GMT",
<http://web.archive.org/web/20210309004358/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Tue, 09 Mar 2021 00:43:58 GMT",
<http://web.archive.org/web/20210331040326/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Wed, 31 Mar 2021 04:03:26 GMT",
<http://web.archive.org/web/20210416005248/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:48 GMT",
<http://web.archive.org/web/20210508191507/https://secure.winred.com/texans-for-ronny-jackson/contribute>; rel="memento"; datetime="Sat, 08 May 2021 19:15:07 GMT",
