<https://secure.winred.com/troynehls/support>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/troynehls/support>; rel="self"; type="application/link-format"; from="Tue, 28 Jul 2020 21:50:46 GMT",
<http://web.archive.org/web/https://secure.winred.com/troynehls/support>; rel="timegate",
<http://web.archive.org/web/20200728215046/https://secure.winred.com/troynehls/support>; rel="first memento"; datetime="Tue, 28 Jul 2020 21:50:46 GMT",
<http://web.archive.org/web/20200813110726/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Thu, 13 Aug 2020 11:07:26 GMT",
<http://web.archive.org/web/20200817065626/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Mon, 17 Aug 2020 06:56:26 GMT",
<http://web.archive.org/web/20201001073118/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Thu, 01 Oct 2020 07:31:18 GMT",
<http://web.archive.org/web/20201021124717/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Wed, 21 Oct 2020 12:47:17 GMT",
<http://web.archive.org/web/20201102112602/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Mon, 02 Nov 2020 11:26:02 GMT",
<http://web.archive.org/web/20201102135238/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Mon, 02 Nov 2020 13:52:38 GMT",
<http://web.archive.org/web/20201105082846/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Thu, 05 Nov 2020 08:28:46 GMT",
<http://web.archive.org/web/20201105083314/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Thu, 05 Nov 2020 08:33:14 GMT",
<http://web.archive.org/web/20201106064924/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Fri, 06 Nov 2020 06:49:24 GMT",
<http://web.archive.org/web/20201106114630/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Fri, 06 Nov 2020 11:46:30 GMT",
<http://web.archive.org/web/20201121145039/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sat, 21 Nov 2020 14:50:39 GMT",
<http://web.archive.org/web/20201121152110/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sat, 21 Nov 2020 15:21:10 GMT",
<http://web.archive.org/web/20201121173345/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sat, 21 Nov 2020 17:33:45 GMT",
<http://web.archive.org/web/20201121191203/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sat, 21 Nov 2020 19:12:03 GMT",
<http://web.archive.org/web/20201201051338/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Tue, 01 Dec 2020 05:13:38 GMT",
<http://web.archive.org/web/20201213092620/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sun, 13 Dec 2020 09:26:20 GMT",
<http://web.archive.org/web/20210120190033/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Wed, 20 Jan 2021 19:00:33 GMT",
<http://web.archive.org/web/20210225073408/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Thu, 25 Feb 2021 07:34:08 GMT",
<http://web.archive.org/web/20210416224921/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Fri, 16 Apr 2021 22:49:21 GMT",
<http://web.archive.org/web/20210508191142/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Sat, 08 May 2021 19:11:42 GMT",
<http://web.archive.org/web/20210518071707/https://secure.winred.com/troynehls/support>; rel="memento"; datetime="Tue, 18 May 2021 07:17:07 GMT",
