<https://secure.winred.com/tony-gonzales/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/tony-gonzales/donate>; rel="self"; type="application/link-format"; from="Thu, 11 Jun 2020 16:48:20 GMT",
<http://web.archive.org/web/https://secure.winred.com/tony-gonzales/donate>; rel="timegate",
<http://web.archive.org/web/20200611164820/https://secure.winred.com/tony-gonzales/donate>; rel="first memento"; datetime="Thu, 11 Jun 2020 16:48:20 GMT",
<http://web.archive.org/web/20200615212717/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Mon, 15 Jun 2020 21:27:17 GMT",
<http://web.archive.org/web/20200616111833/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Tue, 16 Jun 2020 11:18:33 GMT",
<http://web.archive.org/web/20200817065646/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 06:56:46 GMT",
<http://web.archive.org/web/20200817111912/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 11:19:12 GMT",
<http://web.archive.org/web/20200822002905/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 22 Aug 2020 00:29:05 GMT",
<http://web.archive.org/web/20200830172340/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sun, 30 Aug 2020 17:23:40 GMT",
<http://web.archive.org/web/20200926080549/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 08:05:49 GMT",
<http://web.archive.org/web/20201001102855/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 10:28:55 GMT",
<http://web.archive.org/web/20201005113158/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 11:31:58 GMT",
<http://web.archive.org/web/20201103002643/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 00:26:43 GMT",
<http://web.archive.org/web/20201105082829/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 08:28:29 GMT",
<http://web.archive.org/web/20201106044341/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 04:43:41 GMT",
<http://web.archive.org/web/20201106072239/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:22:39 GMT",
<http://web.archive.org/web/20201106121915/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:19:15 GMT",
<http://web.archive.org/web/20201113082734/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:34 GMT",
<http://web.archive.org/web/20201113082738/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:38 GMT",
<http://web.archive.org/web/20201113082743/https://secure.winred.com/tony-gonzales/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 08:27:43 GMT",
