<https://secure.actblue.com/donate/cd24>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/cd24>; rel="self"; type="application/link-format"; from="Wed, 17 Apr 2019 09:02:30 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/cd24>; rel="timegate",
<http://web.archive.org/web/20190417090230/https://secure.actblue.com/donate/cd24>; rel="first memento"; datetime="Wed, 17 Apr 2019 09:02:30 GMT",
<http://web.archive.org/web/20190422190017/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Mon, 22 Apr 2019 19:00:17 GMT",
<http://web.archive.org/web/20200427184729/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Mon, 27 Apr 2020 18:47:29 GMT",
<http://web.archive.org/web/20201003042945/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 03 Oct 2020 04:29:45 GMT",
<http://web.archive.org/web/20201004195755/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sun, 04 Oct 2020 19:57:55 GMT",
<http://web.archive.org/web/20201004195755/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sun, 04 Oct 2020 19:57:55 GMT",
<http://web.archive.org/web/20201024133240/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 24 Oct 2020 13:32:40 GMT",
<http://web.archive.org/web/20201024220205/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 24 Oct 2020 22:02:05 GMT",
<http://web.archive.org/web/20201031122909/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 31 Oct 2020 12:29:09 GMT",
<http://web.archive.org/web/20201107170119/http://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 07 Nov 2020 17:01:19 GMT",
<http://web.archive.org/web/20201107170120/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 07 Nov 2020 17:01:20 GMT",
<http://web.archive.org/web/20201107170731/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 07 Nov 2020 17:07:31 GMT",
<http://web.archive.org/web/20201107173848/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 07 Nov 2020 17:38:48 GMT",
<http://web.archive.org/web/20201107173849/https://secure.actblue.com/donate/CD24>; rel="memento"; datetime="Sat, 07 Nov 2020 17:38:49 GMT",
<http://web.archive.org/web/20201130020309/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Mon, 30 Nov 2020 02:03:09 GMT",
<http://web.archive.org/web/20201212132932/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Sat, 12 Dec 2020 13:29:32 GMT",
<http://web.archive.org/web/20211008033641/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Fri, 08 Oct 2021 03:36:41 GMT",
<http://web.archive.org/web/20211021080851/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Thu, 21 Oct 2021 08:08:51 GMT",
<http://web.archive.org/web/20220218155750/https://secure.actblue.com/donate/cd24>; rel="memento"; datetime="Fri, 18 Feb 2022 15:57:50 GMT",
