<https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="self"; type="application/link-format"; from="Mon, 25 May 2020 13:21:03 GMT",
<http://web.archive.org/web/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="timegate",
<http://web.archive.org/web/20200525132103/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="first memento"; datetime="Mon, 25 May 2020 13:21:03 GMT",
<http://web.archive.org/web/20200609133341/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Tue, 09 Jun 2020 13:33:41 GMT",
<http://web.archive.org/web/20200809054207/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 09 Aug 2020 05:42:07 GMT",
<http://web.archive.org/web/20201001083320/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Thu, 01 Oct 2020 08:33:20 GMT",
<http://web.archive.org/web/20201005112823/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Mon, 05 Oct 2020 11:28:23 GMT",
<http://web.archive.org/web/20201030075154/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Fri, 30 Oct 2020 07:51:54 GMT",
<http://web.archive.org/web/20201105083626/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Thu, 05 Nov 2020 08:36:26 GMT",
<http://web.archive.org/web/20201115012509/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:09 GMT",
<http://web.archive.org/web/20201115012513/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:13 GMT",
<http://web.archive.org/web/20201115012516/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:16 GMT",
<http://web.archive.org/web/20201115012519/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:19 GMT",
<http://web.archive.org/web/20201115012524/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:24 GMT",
<http://web.archive.org/web/20201115012528/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:28 GMT",
<http://web.archive.org/web/20201115012531/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:31 GMT",
<http://web.archive.org/web/20201115012533/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:33 GMT",
<http://web.archive.org/web/20201115012538/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:38 GMT",
<http://web.archive.org/web/20201115012542/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:42 GMT",
<http://web.archive.org/web/20201115012545/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:45 GMT",
<http://web.archive.org/web/20201115012549/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:49 GMT",
<http://web.archive.org/web/20201115012550/https://secure.winred.com/SandraWhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:25:50 GMT",
<http://web.archive.org/web/20201115012634/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:26:34 GMT",
<http://web.archive.org/web/20201115012636/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:26:36 GMT",
<http://web.archive.org/web/20201115012655/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:26:55 GMT",
<http://web.archive.org/web/20201115012659/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:26:59 GMT",
<http://web.archive.org/web/20201115012703/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:03 GMT",
<http://web.archive.org/web/20201115012708/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:08 GMT",
<http://web.archive.org/web/20201115012712/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:12 GMT",
<http://web.archive.org/web/20201115012715/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:15 GMT",
<http://web.archive.org/web/20201115012716/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:16 GMT",
<http://web.archive.org/web/20201115012717/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:17 GMT",
<http://web.archive.org/web/20201115012718/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:18 GMT",
<http://web.archive.org/web/20201115012719/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:19 GMT",
<http://web.archive.org/web/20201115012720/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:20 GMT",
<http://web.archive.org/web/20201115012721/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:21 GMT",
<http://web.archive.org/web/20201115012722/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:22 GMT",
<http://web.archive.org/web/20201115012723/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:23 GMT",
<http://web.archive.org/web/20201115012724/https://secure.winred.com/sandrawhitten/restoring_the_heart>; rel="memento"; datetime="Sun, 15 Nov 2020 01:27:24 GMT",
