<https://secure.actblue.com/donate/lewis-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="self"; type="application/link-format"; from="Thu, 16 Jul 2020 22:16:52 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20200716221652/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="first memento"; datetime="Thu, 16 Jul 2020 22:16:52 GMT",
<http://web.archive.org/web/20200906071151/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sun, 06 Sep 2020 07:11:51 GMT",
<http://web.archive.org/web/20200928064533/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:45:33 GMT",
<http://web.archive.org/web/20201001032559/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Thu, 01 Oct 2020 03:25:59 GMT",
<http://web.archive.org/web/20201024221850/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sat, 24 Oct 2020 22:18:50 GMT",
<http://web.archive.org/web/20201101011629/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 01:16:29 GMT",
<http://web.archive.org/web/20201101080702/http://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 08:07:02 GMT",
<http://web.archive.org/web/20201101080702/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 08:07:02 GMT",
<http://web.archive.org/web/20201108205835/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sun, 08 Nov 2020 20:58:35 GMT",
<http://web.archive.org/web/20201120225934/http://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Fri, 20 Nov 2020 22:59:34 GMT",
<http://web.archive.org/web/20201120225936/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Fri, 20 Nov 2020 22:59:36 GMT",
<http://web.archive.org/web/20201120230048/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Fri, 20 Nov 2020 23:00:48 GMT",
<http://web.archive.org/web/20201212134419/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 13:44:19 GMT",
<http://web.archive.org/web/20210105220604/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:06:04 GMT",
<http://web.archive.org/web/20210105220606/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:06:06 GMT",
<http://web.archive.org/web/20210105220607/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:06:07 GMT",
<http://web.archive.org/web/20210112215043/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 12 Jan 2021 21:50:43 GMT",
<http://web.archive.org/web/20210112215044/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 12 Jan 2021 21:50:44 GMT",
<http://web.archive.org/web/20210112215045/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Tue, 12 Jan 2021 21:50:45 GMT",
<http://web.archive.org/web/20210120001858/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Wed, 20 Jan 2021 00:18:58 GMT",
<http://web.archive.org/web/20210120001859/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Wed, 20 Jan 2021 00:18:59 GMT",
<http://web.archive.org/web/20210120001900/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Wed, 20 Jan 2021 00:19:00 GMT",
<http://web.archive.org/web/20210120001902/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Wed, 20 Jan 2021 00:19:02 GMT",
<http://web.archive.org/web/20211006121438/https://secure.actblue.com/donate/lewis-for-congress-1>; rel="memento"; datetime="Wed, 06 Oct 2021 12:14:38 GMT",
