<https://secure.johncurtis.org/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.johncurtis.org/contribute>; rel="self"; type="application/link-format"; from="Wed, 14 Aug 2019 03:05:26 GMT",
<http://web.archive.org/web/https://secure.johncurtis.org/contribute>; rel="timegate",
<http://web.archive.org/web/20190814030526/https://secure.johncurtis.org/contribute>; rel="first memento"; datetime="Wed, 14 Aug 2019 03:05:26 GMT",
<http://web.archive.org/web/20200508022815/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Fri, 08 May 2020 02:28:15 GMT",
<http://web.archive.org/web/20200525104402/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Mon, 25 May 2020 10:44:02 GMT",
<http://web.archive.org/web/20200817074542/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Mon, 17 Aug 2020 07:45:42 GMT",
<http://web.archive.org/web/20200918155258/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Fri, 18 Sep 2020 15:52:58 GMT",
<http://web.archive.org/web/20200919142343/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sat, 19 Sep 2020 14:23:43 GMT",
<http://web.archive.org/web/20201025100332/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 25 Oct 2020 10:03:32 GMT",
<http://web.archive.org/web/20201101010605/http://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 01 Nov 2020 01:06:05 GMT",
<http://web.archive.org/web/20201101010605/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 01 Nov 2020 01:06:05 GMT",
<http://web.archive.org/web/20201105072828/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Thu, 05 Nov 2020 07:28:28 GMT",
<http://web.archive.org/web/20201105072930/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Thu, 05 Nov 2020 07:29:30 GMT",
<http://web.archive.org/web/20201106022553/http://secure.johncurtis.org/contribute/>; rel="memento"; datetime="Fri, 06 Nov 2020 02:25:53 GMT",
<http://web.archive.org/web/20201106022554/https://secure.johncurtis.org/contribute/>; rel="memento"; datetime="Fri, 06 Nov 2020 02:25:54 GMT",
<http://web.archive.org/web/20201109052901/http://secure.johncurtis.org/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:29:01 GMT",
<http://web.archive.org/web/20201109052902/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 05:29:02 GMT",
<http://web.archive.org/web/20201109063848/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Mon, 09 Nov 2020 06:38:48 GMT",
<http://web.archive.org/web/20201127114155/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Fri, 27 Nov 2020 11:41:55 GMT",
<http://web.archive.org/web/20201213095500/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 13 Dec 2020 09:55:00 GMT",
<http://web.archive.org/web/20210124204144/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 24 Jan 2021 20:41:44 GMT",
<http://web.archive.org/web/20210423011249/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Fri, 23 Apr 2021 01:12:49 GMT",
<http://web.archive.org/web/20210508184556/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sat, 08 May 2021 18:45:56 GMT",
<http://web.archive.org/web/20211003213718/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 03 Oct 2021 21:37:18 GMT",
<http://web.archive.org/web/20211017000440/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Sun, 17 Oct 2021 00:04:40 GMT",
<http://web.archive.org/web/20211021160831/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Thu, 21 Oct 2021 16:08:31 GMT",
<http://web.archive.org/web/20211022202645/https://secure.johncurtis.org/contribute>; rel="memento"; datetime="Fri, 22 Oct 2021 20:26:45 GMT",
