<https://secure.winred.com/BurgessOwens/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/BurgessOwens/donate>; rel="self"; type="application/link-format"; from="Wed, 11 Mar 2020 23:28:05 GMT",
<http://web.archive.org/web/https://secure.winred.com/BurgessOwens/donate>; rel="timegate",
<http://web.archive.org/web/20200311232805/https://secure.winred.com/BurgessOwens/donate>; rel="first memento"; datetime="Wed, 11 Mar 2020 23:28:05 GMT",
<http://web.archive.org/web/20200408184903/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Wed, 08 Apr 2020 18:49:03 GMT",
<http://web.archive.org/web/20200514050524/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Thu, 14 May 2020 05:05:24 GMT",
<http://web.archive.org/web/20200702213256/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Thu, 02 Jul 2020 21:32:56 GMT",
<http://web.archive.org/web/20200801054401/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sat, 01 Aug 2020 05:44:01 GMT",
<http://web.archive.org/web/20200805071915/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 05 Aug 2020 07:19:15 GMT",
<http://web.archive.org/web/20200807092449/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:24:49 GMT",
<http://web.archive.org/web/20200817074557/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 07:45:57 GMT",
<http://web.archive.org/web/20200912002906/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sat, 12 Sep 2020 00:29:06 GMT",
<http://web.archive.org/web/20201005114000/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 11:40:00 GMT",
<http://web.archive.org/web/20201029164838/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 16:48:38 GMT",
<http://web.archive.org/web/20201103121953/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 12:19:53 GMT",
<http://web.archive.org/web/20201105073438/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 07:34:38 GMT",
<http://web.archive.org/web/20201106072241/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:22:41 GMT",
<http://web.archive.org/web/20201106121917/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:19:17 GMT",
<http://web.archive.org/web/20201107065230/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:52:30 GMT",
<http://web.archive.org/web/20201107065231/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:52:31 GMT",
<http://web.archive.org/web/20201107180801/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 18:08:01 GMT",
<http://web.archive.org/web/20201116171035/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 17:10:35 GMT",
<http://web.archive.org/web/20201117183710/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 18:37:10 GMT",
<http://web.archive.org/web/20201118010603/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 01:06:03 GMT",
<http://web.archive.org/web/20201118052342/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 05:23:42 GMT",
<http://web.archive.org/web/20201118142738/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 14:27:38 GMT",
<http://web.archive.org/web/20201118203021/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 20:30:21 GMT",
<http://web.archive.org/web/20201213095655/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 09:56:55 GMT",
<http://web.archive.org/web/20210105010304/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 01:03:04 GMT",
<http://web.archive.org/web/20210117122448/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 12:24:48 GMT",
<http://web.archive.org/web/20210204153612/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Thu, 04 Feb 2021 15:36:12 GMT",
<http://web.archive.org/web/20210331035715/https://secure.winred.com/burgessowens/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:57:15 GMT",
<http://web.archive.org/web/20210417081947/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 08:19:47 GMT",
<http://web.archive.org/web/20210508184414/https://secure.winred.com/BurgessOwens/donate>; rel="memento"; datetime="Sat, 08 May 2021 18:44:14 GMT",
