<https://secure.actblue.com/donate/cameronwebb>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/cameronwebb>; rel="self"; type="application/link-format"; from="Fri, 09 Aug 2019 04:25:48 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/cameronwebb>; rel="timegate",
<http://web.archive.org/web/20190809042548/https://secure.actblue.com/donate/cameronwebb>; rel="first memento"; datetime="Fri, 09 Aug 2019 04:25:48 GMT",
<http://web.archive.org/web/20200523233750/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 23 May 2020 23:37:50 GMT",
<http://web.archive.org/web/20200620142316/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 20 Jun 2020 14:23:16 GMT",
<http://web.archive.org/web/20200720152654/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Mon, 20 Jul 2020 15:26:54 GMT",
<http://web.archive.org/web/20200720152701/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Mon, 20 Jul 2020 15:27:01 GMT",
<http://web.archive.org/web/20200720152702/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Mon, 20 Jul 2020 15:27:02 GMT",
<http://web.archive.org/web/20200720152704/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Mon, 20 Jul 2020 15:27:04 GMT",
<http://web.archive.org/web/20200920142337/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 20 Sep 2020 14:23:37 GMT",
<http://web.archive.org/web/20201002102723/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 02 Oct 2020 10:27:23 GMT",
<http://web.archive.org/web/20201004205607/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 04 Oct 2020 20:56:07 GMT",
<http://web.archive.org/web/20201004222445/https://secure.actblue.com/donate/cameronwebb/>; rel="memento"; datetime="Sun, 04 Oct 2020 22:24:45 GMT",
<http://web.archive.org/web/20201015155849/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 15 Oct 2020 15:58:49 GMT",
<http://web.archive.org/web/20201020043316/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Tue, 20 Oct 2020 04:33:16 GMT",
<http://web.archive.org/web/20201024223500/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 24 Oct 2020 22:35:00 GMT",
<http://web.archive.org/web/20201029221734/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 29 Oct 2020 22:17:34 GMT",
<http://web.archive.org/web/20201031222430/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 31 Oct 2020 22:24:30 GMT",
<http://web.archive.org/web/20201101015124/http://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 01 Nov 2020 01:51:24 GMT",
<http://web.archive.org/web/20201101053702/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 01 Nov 2020 05:37:02 GMT",
<http://web.archive.org/web/20201101070257/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 01 Nov 2020 07:02:57 GMT",
<http://web.archive.org/web/20201101183415/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sun, 01 Nov 2020 18:34:15 GMT",
<http://web.archive.org/web/20201101193159/https://secure.actblue.com/donate/CameronWebb>; rel="memento"; datetime="Sun, 01 Nov 2020 19:31:59 GMT",
<http://web.archive.org/web/20201105065944/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Thu, 05 Nov 2020 06:59:44 GMT",
<http://web.archive.org/web/20201106215818/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Fri, 06 Nov 2020 21:58:18 GMT",
<http://web.archive.org/web/20201114044650/http://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 14 Nov 2020 04:46:50 GMT",
<http://web.archive.org/web/20201114044650/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 14 Nov 2020 04:46:50 GMT",
<http://web.archive.org/web/20201114044913/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 14 Nov 2020 04:49:13 GMT",
<http://web.archive.org/web/20201114210512/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 14 Nov 2020 21:05:12 GMT",
<http://web.archive.org/web/20201114210513/https://secure.actblue.com/donate/cameronwebb/>; rel="memento"; datetime="Sat, 14 Nov 2020 21:05:13 GMT",
<http://web.archive.org/web/20201212135408/https://secure.actblue.com/donate/cameronwebb>; rel="memento"; datetime="Sat, 12 Dec 2020 13:54:08 GMT",
