<https://secure.actblue.com/donate/spanberger_website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/spanberger_website>; rel="self"; type="application/link-format"; from="Sat, 03 Mar 2018 23:37:49 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/spanberger_website>; rel="timegate",
<http://web.archive.org/web/20180303233749/https://secure.actblue.com/donate/spanberger_website>; rel="first memento"; datetime="Sat, 03 Mar 2018 23:37:49 GMT",
<http://web.archive.org/web/20180618165212/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Mon, 18 Jun 2018 16:52:12 GMT",
<http://web.archive.org/web/20180618165409/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Mon, 18 Jun 2018 16:54:09 GMT",
<http://web.archive.org/web/20180802043746/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 02 Aug 2018 04:37:46 GMT",
<http://web.archive.org/web/20181031013457/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Wed, 31 Oct 2018 01:34:57 GMT",
<http://web.archive.org/web/20190304171556/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Mon, 04 Mar 2019 17:15:56 GMT",
<http://web.archive.org/web/20190508051614/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Wed, 08 May 2019 05:16:14 GMT",
<http://web.archive.org/web/20190508102027/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Wed, 08 May 2019 10:20:27 GMT",
<http://web.archive.org/web/20190508134743/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Wed, 08 May 2019 13:47:43 GMT",
<http://web.archive.org/web/20190516224211/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 16 May 2019 22:42:11 GMT",
<http://web.archive.org/web/20191018045128/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Fri, 18 Oct 2019 04:51:28 GMT",
<http://web.archive.org/web/20191224094103/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 24 Dec 2019 09:41:03 GMT",
<http://web.archive.org/web/20191226174609/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 26 Dec 2019 17:46:09 GMT",
<http://web.archive.org/web/20200823171038/http://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 23 Aug 2020 17:10:38 GMT",
<http://web.archive.org/web/20200823171046/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 23 Aug 2020 17:10:46 GMT",
<http://web.archive.org/web/20200901193734/http://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 01 Sep 2020 19:37:34 GMT",
<http://web.archive.org/web/20200903133824/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 03 Sep 2020 13:38:24 GMT",
<http://web.archive.org/web/20200903143856/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 03 Sep 2020 14:38:56 GMT",
<http://web.archive.org/web/20200920143530/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 20 Sep 2020 14:35:30 GMT",
<http://web.archive.org/web/20200928064402/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Mon, 28 Sep 2020 06:44:02 GMT",
<http://web.archive.org/web/20201001230333/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Thu, 01 Oct 2020 23:03:33 GMT",
<http://web.archive.org/web/20201004202731/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 04 Oct 2020 20:27:31 GMT",
<http://web.archive.org/web/20201004202732/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 04 Oct 2020 20:27:32 GMT",
<http://web.archive.org/web/20201004223340/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 04 Oct 2020 22:33:40 GMT",
<http://web.archive.org/web/20201020171617/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 20 Oct 2020 17:16:17 GMT",
<http://web.archive.org/web/20201020171618/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 20 Oct 2020 17:16:18 GMT",
<http://web.archive.org/web/20201020171618/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 20 Oct 2020 17:16:18 GMT",
<http://web.archive.org/web/20201020171619/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Tue, 20 Oct 2020 17:16:19 GMT",
<http://web.archive.org/web/20201024223747/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sat, 24 Oct 2020 22:37:47 GMT",
<http://web.archive.org/web/20201101091111/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 01 Nov 2020 09:11:11 GMT",
<http://web.archive.org/web/20201106203523/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Fri, 06 Nov 2020 20:35:23 GMT",
<http://web.archive.org/web/20201121171028/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sat, 21 Nov 2020 17:10:28 GMT",
<http://web.archive.org/web/20201212135626/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sat, 12 Dec 2020 13:56:26 GMT",
<http://web.archive.org/web/20210509060520/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Sun, 09 May 2021 06:05:20 GMT",
<http://web.archive.org/web/20210709233537/https://secure.actblue.com/donate/spanberger_website>; rel="memento"; datetime="Fri, 09 Jul 2021 23:35:37 GMT",
