<https://secure.actblue.com/donate/7-19-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/7-19-website>; rel="self"; type="application/link-format"; from="Wed, 10 Jul 2019 16:56:25 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/7-19-website>; rel="timegate",
<http://web.archive.org/web/20190710165625/https://secure.actblue.com/donate/7-19-website>; rel="first memento"; datetime="Wed, 10 Jul 2019 16:56:25 GMT",
<http://web.archive.org/web/20191130070812/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sat, 30 Nov 2019 07:08:12 GMT",
<http://web.archive.org/web/20200401012627/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Wed, 01 Apr 2020 01:26:27 GMT",
<http://web.archive.org/web/20200404045414/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sat, 04 Apr 2020 04:54:14 GMT",
<http://web.archive.org/web/20200506025621/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Wed, 06 May 2020 02:56:21 GMT",
<http://web.archive.org/web/20200702173226/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Thu, 02 Jul 2020 17:32:26 GMT",
<http://web.archive.org/web/20200807193956/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Fri, 07 Aug 2020 19:39:56 GMT",
<http://web.archive.org/web/20200817084314/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Mon, 17 Aug 2020 08:43:14 GMT",
<http://web.archive.org/web/20200929133347/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Tue, 29 Sep 2020 13:33:47 GMT",
<http://web.archive.org/web/20201004123830/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 04 Oct 2020 12:38:30 GMT",
<http://web.archive.org/web/20201004203548/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 04 Oct 2020 20:35:48 GMT",
<http://web.archive.org/web/20201004203549/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 04 Oct 2020 20:35:49 GMT",
<http://web.archive.org/web/20201024224707/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sat, 24 Oct 2020 22:47:07 GMT",
<http://web.archive.org/web/20201101002621/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 01 Nov 2020 00:26:21 GMT",
<http://web.archive.org/web/20201101011913/http://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 01 Nov 2020 01:19:13 GMT",
<http://web.archive.org/web/20201101011914/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 01 Nov 2020 01:19:14 GMT",
<http://web.archive.org/web/20201101014148/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 01 Nov 2020 01:41:48 GMT",
<http://web.archive.org/web/20201101141234/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sun, 01 Nov 2020 14:12:34 GMT",
<http://web.archive.org/web/20201105052216/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Thu, 05 Nov 2020 05:22:16 GMT",
<http://web.archive.org/web/20201114213516/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sat, 14 Nov 2020 21:35:16 GMT",
<http://web.archive.org/web/20201212140643/https://secure.actblue.com/donate/7-19-website>; rel="memento"; datetime="Sat, 12 Dec 2020 14:06:43 GMT",
