<https://secure.winred.com/DanNewhouse/website_donations>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/DanNewhouse/website_donations>; rel="self"; type="application/link-format"; from="Thu, 07 May 2020 05:27:25 GMT",
<http://web.archive.org/web/https://secure.winred.com/DanNewhouse/website_donations>; rel="timegate",
<http://web.archive.org/web/20200507052725/https://secure.winred.com/DanNewhouse/website_donations>; rel="first memento"; datetime="Thu, 07 May 2020 05:27:25 GMT",
<http://web.archive.org/web/20200507213852/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Thu, 07 May 2020 21:38:52 GMT",
<http://web.archive.org/web/20200605224758/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Fri, 05 Jun 2020 22:47:58 GMT",
<http://web.archive.org/web/20200812035527/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Wed, 12 Aug 2020 03:55:27 GMT",
<http://web.archive.org/web/20200817084303/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Mon, 17 Aug 2020 08:43:03 GMT",
<http://web.archive.org/web/20200926084120/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Sat, 26 Sep 2020 08:41:20 GMT",
<http://web.archive.org/web/20201005120551/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Mon, 05 Oct 2020 12:05:51 GMT",
<http://web.archive.org/web/20201027092857/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Tue, 27 Oct 2020 09:28:57 GMT",
<http://web.archive.org/web/20201105051259/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Thu, 05 Nov 2020 05:12:59 GMT",
<http://web.archive.org/web/20201201085428/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Tue, 01 Dec 2020 08:54:28 GMT",
<http://web.archive.org/web/20201213101556/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Sun, 13 Dec 2020 10:15:56 GMT",
<http://web.archive.org/web/20210114160805/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Thu, 14 Jan 2021 16:08:05 GMT",
<http://web.archive.org/web/20210116201517/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Sat, 16 Jan 2021 20:15:17 GMT",
<http://web.archive.org/web/20210119171021/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Tue, 19 Jan 2021 17:10:21 GMT",
<http://web.archive.org/web/20210125012044/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Mon, 25 Jan 2021 01:20:44 GMT",
<http://web.archive.org/web/20210302172004/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Tue, 02 Mar 2021 17:20:04 GMT",
<http://web.archive.org/web/20210423083055/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Fri, 23 Apr 2021 08:30:55 GMT",
<http://web.archive.org/web/20210508183846/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Sat, 08 May 2021 18:38:46 GMT",
<http://web.archive.org/web/20210518081055/https://secure.winred.com/DanNewhouse/website_donations>; rel="memento"; datetime="Tue, 18 May 2021 08:10:55 GMT",
