<https://act.myngp.com/Forms/3198946187019356160>; rel="original",
<http://web.archive.org/web/timemap/link/https://act.myngp.com/Forms/3198946187019356160>; rel="self"; type="application/link-format"; from="Sun, 07 Aug 2016 14:37:38 GMT",
<http://web.archive.org/web/https://act.myngp.com/Forms/3198946187019356160>; rel="timegate",
<http://web.archive.org/web/20160807143738/https://act.myngp.com/Forms/3198946187019356160>; rel="first memento"; datetime="Sun, 07 Aug 2016 14:37:38 GMT",
<http://web.archive.org/web/20160923203007/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Fri, 23 Sep 2016 20:30:07 GMT",
<http://web.archive.org/web/20161006183049/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 06 Oct 2016 18:30:49 GMT",
<http://web.archive.org/web/20161011205831/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Tue, 11 Oct 2016 20:58:31 GMT",
<http://web.archive.org/web/20161019164535/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Wed, 19 Oct 2016 16:45:35 GMT",
<http://web.archive.org/web/20161029002050/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sat, 29 Oct 2016 00:20:50 GMT",
<http://web.archive.org/web/20181005202820/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Fri, 05 Oct 2018 20:28:20 GMT",
<http://web.archive.org/web/20181017145833/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Wed, 17 Oct 2018 14:58:33 GMT",
<http://web.archive.org/web/20181025212556/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 25 Oct 2018 21:25:56 GMT",
<http://web.archive.org/web/20200817084828/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Mon, 17 Aug 2020 08:48:28 GMT",
<http://web.archive.org/web/20201005121010/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Mon, 05 Oct 2020 12:10:10 GMT",
<http://web.archive.org/web/20201101035350/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sun, 01 Nov 2020 03:53:50 GMT",
<http://web.archive.org/web/20201105051954/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 05 Nov 2020 05:19:54 GMT",
<http://web.archive.org/web/20201105052023/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 05 Nov 2020 05:20:23 GMT",
<http://web.archive.org/web/20201105052245/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 05 Nov 2020 05:22:45 GMT",
<http://web.archive.org/web/20201213101918/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sun, 13 Dec 2020 10:19:18 GMT",
<http://web.archive.org/web/20210417152633/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sat, 17 Apr 2021 15:26:33 GMT",
<http://web.archive.org/web/20210506012536/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 06 May 2021 01:25:36 GMT",
<http://web.archive.org/web/20210508183350/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sat, 08 May 2021 18:33:50 GMT",
<http://web.archive.org/web/20210612180525/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sat, 12 Jun 2021 18:05:25 GMT",
<http://web.archive.org/web/20211019100832/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Tue, 19 Oct 2021 10:08:32 GMT",
<http://web.archive.org/web/20211019130918/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Tue, 19 Oct 2021 13:09:18 GMT",
<http://web.archive.org/web/20211021114047/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 21 Oct 2021 11:40:47 GMT",
<http://web.archive.org/web/20211023144609/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Sat, 23 Oct 2021 14:46:09 GMT",
<http://web.archive.org/web/20211028043334/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Thu, 28 Oct 2021 04:33:34 GMT",
<http://web.archive.org/web/20220110035733/https://act.myngp.com/Forms/3198946187019356160>; rel="memento"; datetime="Mon, 10 Jan 2022 03:57:33 GMT",
