<https://secure.actblue.com/donate/kimschrier>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/kimschrier>; rel="self"; type="application/link-format"; from="Sun, 21 Jun 2020 19:55:58 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/kimschrier>; rel="timegate",
<http://web.archive.org/web/20200621195558/https://secure.actblue.com/donate/kimschrier>; rel="first memento"; datetime="Sun, 21 Jun 2020 19:55:58 GMT",
<http://web.archive.org/web/20200817085449/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Mon, 17 Aug 2020 08:54:49 GMT",
<http://web.archive.org/web/20201004204345/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sun, 04 Oct 2020 20:43:45 GMT",
<http://web.archive.org/web/20201004204346/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sun, 04 Oct 2020 20:43:46 GMT",
<http://web.archive.org/web/20201017030756/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sat, 17 Oct 2020 03:07:56 GMT",
<http://web.archive.org/web/20201020033107/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Tue, 20 Oct 2020 03:31:07 GMT",
<http://web.archive.org/web/20201031194711/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sat, 31 Oct 2020 19:47:11 GMT",
<http://web.archive.org/web/20201105051652/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Thu, 05 Nov 2020 05:16:52 GMT",
<http://web.archive.org/web/20201105060153/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Thu, 05 Nov 2020 06:01:53 GMT",
<http://web.archive.org/web/20201111141700/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Wed, 11 Nov 2020 14:17:00 GMT",
<http://web.archive.org/web/20201114202512/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sat, 14 Nov 2020 20:25:12 GMT",
<http://web.archive.org/web/20201125023225/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Wed, 25 Nov 2020 02:32:25 GMT",
<http://web.archive.org/web/20201127234249/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Fri, 27 Nov 2020 23:42:49 GMT",
<http://web.archive.org/web/20201212141544/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sat, 12 Dec 2020 14:15:44 GMT",
<http://web.archive.org/web/20210509055732/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sun, 09 May 2021 05:57:32 GMT",
<http://web.archive.org/web/20210901231638/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Wed, 01 Sep 2021 23:16:38 GMT",
<http://web.archive.org/web/20211030205852/https://secure.actblue.com/donate/kimschrier>; rel="memento"; datetime="Sat, 30 Oct 2021 20:58:52 GMT",
