<https://secure.actblue.com/donate/bethdoglioforcongress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="self"; type="application/link-format"; from="Mon, 13 Apr 2020 04:13:02 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="timegate",
<http://web.archive.org/web/20200413041302/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="first memento"; datetime="Mon, 13 Apr 2020 04:13:02 GMT",
<http://web.archive.org/web/20200518123759/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Mon, 18 May 2020 12:37:59 GMT",
<http://web.archive.org/web/20200526225018/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Tue, 26 May 2020 22:50:18 GMT",
<http://web.archive.org/web/20200614221736/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 14 Jun 2020 22:17:36 GMT",
<http://web.archive.org/web/20200614221752/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 14 Jun 2020 22:17:52 GMT",
<http://web.archive.org/web/20200614221801/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 14 Jun 2020 22:18:01 GMT",
<http://web.archive.org/web/20200619225008/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 19 Jun 2020 22:50:08 GMT",
<http://web.archive.org/web/20200701233414/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Wed, 01 Jul 2020 23:34:14 GMT",
<http://web.archive.org/web/20200817091210/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Mon, 17 Aug 2020 09:12:10 GMT",
<http://web.archive.org/web/20201002162304/http://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 02 Oct 2020 16:23:04 GMT",
<http://web.archive.org/web/20201002162420/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 02 Oct 2020 16:24:20 GMT",
<http://web.archive.org/web/20201002162644/http://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 02 Oct 2020 16:26:44 GMT",
<http://web.archive.org/web/20201004204941/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 04 Oct 2020 20:49:41 GMT",
<http://web.archive.org/web/20201004204942/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 04 Oct 2020 20:49:42 GMT",
<http://web.archive.org/web/20201022102843/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Thu, 22 Oct 2020 10:28:43 GMT",
<http://web.archive.org/web/20201024225824/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sat, 24 Oct 2020 22:58:24 GMT",
<http://web.archive.org/web/20201101010418/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 01:04:18 GMT",
<http://web.archive.org/web/20201101063757/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 06:37:57 GMT",
<http://web.archive.org/web/20201105052346/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Thu, 05 Nov 2020 05:23:46 GMT",
<http://web.archive.org/web/20201106092825/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 06 Nov 2020 09:28:25 GMT",
<http://web.archive.org/web/20201106093018/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 06 Nov 2020 09:30:18 GMT",
<http://web.archive.org/web/20201106093413/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Fri, 06 Nov 2020 09:34:13 GMT",
<http://web.archive.org/web/20201107083907/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sat, 07 Nov 2020 08:39:07 GMT",
<http://web.archive.org/web/20201115202531/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sun, 15 Nov 2020 20:25:31 GMT",
<http://web.archive.org/web/20201118160228/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Wed, 18 Nov 2020 16:02:28 GMT",
<http://web.archive.org/web/20201121005008/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sat, 21 Nov 2020 00:50:08 GMT",
<http://web.archive.org/web/20201125032103/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Wed, 25 Nov 2020 03:21:03 GMT",
<http://web.archive.org/web/20201212141905/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Sat, 12 Dec 2020 14:19:05 GMT",
<http://web.archive.org/web/20210902042824/https://secure.actblue.com/donate/bethdoglioforcongress>; rel="memento"; datetime="Thu, 02 Sep 2021 04:28:24 GMT",
