<https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="self"; type="application/link-format"; from="Fri, 20 Sep 2019 14:03:40 GMT",
<http://web.archive.org/web/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20190920140340/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="first memento"; datetime="Fri, 20 Sep 2019 14:03:40 GMT",
<http://web.archive.org/web/20200616114259/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Tue, 16 Jun 2020 11:42:59 GMT",
<http://web.archive.org/web/20200812062425/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 06:24:25 GMT",
<http://web.archive.org/web/20200817105726/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 10:57:26 GMT",
<http://web.archive.org/web/20200924005407/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 00:54:07 GMT",
<http://web.archive.org/web/20200924204807/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 20:48:07 GMT",
<http://web.archive.org/web/20201005064602/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 06:46:02 GMT",
<http://web.archive.org/web/20201005123757/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 12:37:57 GMT",
<http://web.archive.org/web/20201103080219/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 08:02:19 GMT",
<http://web.archive.org/web/20201105043815/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 04:38:15 GMT",
<http://web.archive.org/web/20201106070358/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:03:58 GMT",
<http://web.archive.org/web/20201115021452/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 02:14:52 GMT",
<http://web.archive.org/web/20201122041849/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 04:18:49 GMT",
<http://web.archive.org/web/20201201051629/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 05:16:29 GMT",
<http://web.archive.org/web/20201213103934/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 10:39:34 GMT",
<http://web.archive.org/web/20210104210407/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 04 Jan 2021 21:04:07 GMT",
<http://web.archive.org/web/20210104210409/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 04 Jan 2021 21:04:09 GMT",
<http://web.archive.org/web/20210118034756/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Mon, 18 Jan 2021 03:47:56 GMT",
<http://web.archive.org/web/20210120142620/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 14:26:20 GMT",
<http://web.archive.org/web/20210225074031/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 07:40:31 GMT",
<http://web.archive.org/web/20210416225747/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 22:57:47 GMT",
<http://web.archive.org/web/20210508181648/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 18:16:48 GMT",
<http://web.archive.org/web/20210511131545/https://secure.winred.com/scott-fitzgerald-for-congress/donate>; rel="memento"; datetime="Tue, 11 May 2021 13:15:45 GMT",
