<https://secure.winred.com/CarolMiller/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/CarolMiller/donate>; rel="self"; type="application/link-format"; from="Wed, 24 Jun 2020 07:17:39 GMT",
<http://web.archive.org/web/https://secure.winred.com/CarolMiller/donate>; rel="timegate",
<http://web.archive.org/web/20200624071739/https://secure.winred.com/CarolMiller/donate>; rel="first memento"; datetime="Wed, 24 Jun 2020 07:17:39 GMT",
<http://web.archive.org/web/20200817101648/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 10:16:48 GMT",
<http://web.archive.org/web/20201004223407/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Sun, 04 Oct 2020 22:34:07 GMT",
<http://web.archive.org/web/20201005122529/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 12:25:29 GMT",
<http://web.archive.org/web/20201105045251/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 04:52:51 GMT",
<http://web.archive.org/web/20201105045744/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 04:57:44 GMT",
<http://web.archive.org/web/20201106072513/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:25:13 GMT",
<http://web.archive.org/web/20201116095833/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:33 GMT",
<http://web.archive.org/web/20201116095838/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:38 GMT",
<http://web.archive.org/web/20201116095839/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:39 GMT",
<http://web.archive.org/web/20201116095840/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:40 GMT",
<http://web.archive.org/web/20201116095841/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:41 GMT",
<http://web.archive.org/web/20201116095842/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:42 GMT",
<http://web.archive.org/web/20201116095843/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:43 GMT",
<http://web.archive.org/web/20201116095844/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:44 GMT",
<http://web.archive.org/web/20201116095845/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:45 GMT",
<http://web.archive.org/web/20201116095847/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:47 GMT",
<http://web.archive.org/web/20201116095849/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:49 GMT",
<http://web.archive.org/web/20201116095855/https://secure.winred.com/CarolMiller/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:58:55 GMT",
