<https://secure.actblue.com/donate/hilaryturnerwv>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/hilaryturnerwv>; rel="self"; type="application/link-format"; from="Sun, 29 Dec 2019 23:22:54 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/hilaryturnerwv>; rel="timegate",
<http://web.archive.org/web/20191229232254/https://secure.actblue.com/donate/hilaryturnerwv>; rel="first memento"; datetime="Sun, 29 Dec 2019 23:22:54 GMT",
<http://web.archive.org/web/20200415095303/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Wed, 15 Apr 2020 09:53:03 GMT",
<http://web.archive.org/web/20201002144706/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Fri, 02 Oct 2020 14:47:06 GMT",
<http://web.archive.org/web/20201004205312/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Sun, 04 Oct 2020 20:53:12 GMT",
<http://web.archive.org/web/20201005023642/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Mon, 05 Oct 2020 02:36:42 GMT",
<http://web.archive.org/web/20201101005721/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Sun, 01 Nov 2020 00:57:21 GMT",
<http://web.archive.org/web/20201101034042/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Sun, 01 Nov 2020 03:40:42 GMT",
<http://web.archive.org/web/20201105045454/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Thu, 05 Nov 2020 04:54:54 GMT",
<http://web.archive.org/web/20201105045844/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Thu, 05 Nov 2020 04:58:44 GMT",
<http://web.archive.org/web/20201105045845/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Thu, 05 Nov 2020 04:58:45 GMT",
<http://web.archive.org/web/20201115163428/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Sun, 15 Nov 2020 16:34:28 GMT",
<http://web.archive.org/web/20201212142319/https://secure.actblue.com/donate/hilaryturnerwv>; rel="memento"; datetime="Sat, 12 Dec 2020 14:23:19 GMT",
