<https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="self"; type="application/link-format"; from="Sat, 27 Jun 2020 00:59:55 GMT",
<http://web.archive.org/web/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="timegate",
<http://web.archive.org/web/20200627005955/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="first memento"; datetime="Sat, 27 Jun 2020 00:59:55 GMT",
<http://web.archive.org/web/20200710225258/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 10 Jul 2020 22:52:58 GMT",
<http://web.archive.org/web/20200807095005/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:50:05 GMT",
<http://web.archive.org/web/20200816173520/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 17:35:20 GMT",
<http://web.archive.org/web/20200927114047/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 11:40:47 GMT",
<http://web.archive.org/web/20201101014550/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:45:50 GMT",
<http://web.archive.org/web/20201101014635/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 01:46:35 GMT",
<http://web.archive.org/web/20201107052709/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 05:27:09 GMT",
<http://web.archive.org/web/20201114024848/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 02:48:48 GMT",
<http://web.archive.org/web/20201114025702/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 02:57:02 GMT",
<http://web.archive.org/web/20201124051933/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Tue, 24 Nov 2020 05:19:33 GMT",
<http://web.archive.org/web/20201130180057/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 18:00:57 GMT",
<http://web.archive.org/web/20201203032121/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Thu, 03 Dec 2020 03:21:21 GMT",
<http://web.archive.org/web/20201208193528/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 19:35:28 GMT",
<http://web.archive.org/web/20210129235257/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 29 Jan 2021 23:52:57 GMT",
<http://web.archive.org/web/20210205204845/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 20:48:45 GMT",
<http://web.archive.org/web/20210225082314/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 08:23:14 GMT",
<http://web.archive.org/web/20210302173230/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 17:32:30 GMT",
<http://web.archive.org/web/20210331040141/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:41 GMT",
<http://web.archive.org/web/20210416005244/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:44 GMT",
<http://web.archive.org/web/20210505222913/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:29:13 GMT",
<http://web.archive.org/web/20211021055258/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 05:52:58 GMT",
<http://web.archive.org/web/20211022193749/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 19:37:49 GMT",
<http://web.archive.org/web/20211023224548/https://secure.winred.com/alaskans-for-dan-sullivan/donate>; rel="memento"; datetime="Sat, 23 Oct 2021 22:45:48 GMT",
