<https://secure.actblue.com/donate/jones-homepage1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/jones-homepage1>; rel="self"; type="application/link-format"; from="Mon, 22 Apr 2019 23:25:45 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/jones-homepage1>; rel="timegate",
<http://web.archive.org/web/20190422232545/https://secure.actblue.com/donate/jones-homepage1>; rel="first memento"; datetime="Mon, 22 Apr 2019 23:25:45 GMT",
<http://web.archive.org/web/20190426032055/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 26 Apr 2019 03:20:55 GMT",
<http://web.archive.org/web/20190713155449/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 13 Jul 2019 15:54:49 GMT",
<http://web.archive.org/web/20190806143244/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Tue, 06 Aug 2019 14:32:44 GMT",
<http://web.archive.org/web/20191209143138/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Mon, 09 Dec 2019 14:31:38 GMT",
<http://web.archive.org/web/20200503031415/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 03 May 2020 03:14:15 GMT",
<http://web.archive.org/web/20200605075758/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 05 Jun 2020 07:57:58 GMT",
<http://web.archive.org/web/20200618001418/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Thu, 18 Jun 2020 00:14:18 GMT",
<http://web.archive.org/web/20200627010018/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 27 Jun 2020 01:00:18 GMT",
<http://web.archive.org/web/20200627010025/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 27 Jun 2020 01:00:25 GMT",
<http://web.archive.org/web/20200710222318/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 10 Jul 2020 22:23:18 GMT",
<http://web.archive.org/web/20200710222329/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 10 Jul 2020 22:23:29 GMT",
<http://web.archive.org/web/20200815220143/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 15 Aug 2020 22:01:43 GMT",
<http://web.archive.org/web/20200816171045/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 16 Aug 2020 17:10:45 GMT",
<http://web.archive.org/web/20200826151735/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Wed, 26 Aug 2020 15:17:35 GMT",
<http://web.archive.org/web/20200920064115/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 20 Sep 2020 06:41:15 GMT",
<http://web.archive.org/web/20201018092111/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 18 Oct 2020 09:21:11 GMT",
<http://web.archive.org/web/20201021164159/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Wed, 21 Oct 2020 16:41:59 GMT",
<http://web.archive.org/web/20201029155320/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Thu, 29 Oct 2020 15:53:20 GMT",
<http://web.archive.org/web/20201031031855/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 31 Oct 2020 03:18:55 GMT",
<http://web.archive.org/web/20201031101852/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 31 Oct 2020 10:18:52 GMT",
<http://web.archive.org/web/20201031171559/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 31 Oct 2020 17:15:59 GMT",
<http://web.archive.org/web/20201031171611/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 31 Oct 2020 17:16:11 GMT",
<http://web.archive.org/web/20201101023944/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 01 Nov 2020 02:39:44 GMT",
<http://web.archive.org/web/20201101075358/http://secure.actblue.com/donate/Jones-homepage1>; rel="memento"; datetime="Sun, 01 Nov 2020 07:53:58 GMT",
<http://web.archive.org/web/20201107003224/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sat, 07 Nov 2020 00:32:24 GMT",
<http://web.archive.org/web/20201108010319/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 08 Nov 2020 01:03:19 GMT",
<http://web.archive.org/web/20201116204830/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Mon, 16 Nov 2020 20:48:30 GMT",
<http://web.archive.org/web/20201127035257/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 27 Nov 2020 03:52:57 GMT",
<http://web.archive.org/web/20201127182157/http://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 27 Nov 2020 18:21:57 GMT",
<http://web.archive.org/web/20201127182158/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Fri, 27 Nov 2020 18:21:58 GMT",
<http://web.archive.org/web/20201221141743/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Mon, 21 Dec 2020 14:17:43 GMT",
<http://web.archive.org/web/20210321054133/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Sun, 21 Mar 2021 05:41:33 GMT",
<http://web.archive.org/web/20211020005115/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Wed, 20 Oct 2021 00:51:15 GMT",
<http://web.archive.org/web/20211020153545/https://secure.actblue.com/donate/jones-homepage1>; rel="memento"; datetime="Wed, 20 Oct 2021 15:35:45 GMT",
