<https://secure.winred.com/tom-cotton/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/tom-cotton/donate>; rel="self"; type="application/link-format"; from="Sat, 27 Jun 2020 01:00:26 GMT",
<http://web.archive.org/web/https://secure.winred.com/tom-cotton/donate>; rel="timegate",
<http://web.archive.org/web/20200627010026/https://secure.winred.com/tom-cotton/donate>; rel="first memento"; datetime="Sat, 27 Jun 2020 01:00:26 GMT",
<http://web.archive.org/web/20200710233235/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Fri, 10 Jul 2020 23:32:35 GMT",
<http://web.archive.org/web/20200812041658/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 04:16:58 GMT",
<http://web.archive.org/web/20200816175933/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 17:59:33 GMT",
<http://web.archive.org/web/20200920123334/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 12:33:34 GMT",
<http://web.archive.org/web/20201001090920/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 09:09:20 GMT",
<http://web.archive.org/web/20201018133835/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 13:38:35 GMT",
<http://web.archive.org/web/20201027095111/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Tue, 27 Oct 2020 09:51:11 GMT",
<http://web.archive.org/web/20201102025419/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:54:19 GMT",
<http://web.archive.org/web/20201107054407/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 05:44:07 GMT",
<http://web.archive.org/web/20201125114044/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 11:40:44 GMT",
<http://web.archive.org/web/20201203032455/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Thu, 03 Dec 2020 03:24:55 GMT",
<http://web.archive.org/web/20201208194019/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 19:40:19 GMT",
<http://web.archive.org/web/20210125111004/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 11:10:04 GMT",
<http://web.archive.org/web/20210127062602/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Wed, 27 Jan 2021 06:26:02 GMT",
<http://web.archive.org/web/20210205205119/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 20:51:19 GMT",
<http://web.archive.org/web/20210302174436/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 17:44:36 GMT",
<http://web.archive.org/web/20210423090004/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 09:00:04 GMT",
<http://web.archive.org/web/20210518083545/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Tue, 18 May 2021 08:35:45 GMT",
<http://web.archive.org/web/20210806210605/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Fri, 06 Aug 2021 21:06:05 GMT",
<http://web.archive.org/web/20211021024423/https://secure.winred.com/tom-cotton/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 02:44:23 GMT",
