<https://secure.winred.com/martha-mcsally/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/martha-mcsally/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:44 GMT",
<http://web.archive.org/web/https://secure.winred.com/martha-mcsally/donate>; rel="timegate",
<http://web.archive.org/web/20191014024844/https://secure.winred.com/martha-mcsally/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:44 GMT",
<http://web.archive.org/web/20191218062023/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Wed, 18 Dec 2019 06:20:23 GMT",
<http://web.archive.org/web/20200213030213/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Thu, 13 Feb 2020 03:02:13 GMT",
<http://web.archive.org/web/20200213031928/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Thu, 13 Feb 2020 03:19:28 GMT",
<http://web.archive.org/web/20200213033829/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Thu, 13 Feb 2020 03:38:29 GMT",
<http://web.archive.org/web/20200425042923/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sat, 25 Apr 2020 04:29:23 GMT",
<http://web.archive.org/web/20200511020318/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Mon, 11 May 2020 02:03:18 GMT",
<http://web.archive.org/web/20200618140714/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Thu, 18 Jun 2020 14:07:14 GMT",
<http://web.archive.org/web/20200920123115/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 12:31:15 GMT",
<http://web.archive.org/web/20201003083402/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 08:34:02 GMT",
<http://web.archive.org/web/20201006164351/http://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Tue, 06 Oct 2020 16:43:51 GMT",
<http://web.archive.org/web/20201018133622/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 13:36:22 GMT",
<http://web.archive.org/web/20201102024351/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:43:51 GMT",
<http://web.archive.org/web/20201102192645/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 19:26:45 GMT",
<http://web.archive.org/web/20201107053528/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 05:35:28 GMT",
<http://web.archive.org/web/20201121003611/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 00:36:11 GMT",
<http://web.archive.org/web/20201230143232/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Wed, 30 Dec 2020 14:32:32 GMT",
<http://web.archive.org/web/20210113222700/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 22:27:00 GMT",
<http://web.archive.org/web/20210117074748/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 07:47:48 GMT",
<http://web.archive.org/web/20210117152359/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 15:23:59 GMT",
<http://web.archive.org/web/20210309174438/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Tue, 09 Mar 2021 17:44:38 GMT",
<http://web.archive.org/web/20211024203425/https://secure.winred.com/martha-mcsally/donate>; rel="memento"; datetime="Sun, 24 Oct 2021 20:34:25 GMT",
