<https://secure.actblue.com/donate/ks-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ks-website>; rel="self"; type="application/link-format"; from="Tue, 25 Sep 2018 13:01:50 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ks-website>; rel="timegate",
<http://web.archive.org/web/20180925130150/https://secure.actblue.com/donate/ks-website>; rel="first memento"; datetime="Tue, 25 Sep 2018 13:01:50 GMT",
<http://web.archive.org/web/20190310101350/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sun, 10 Mar 2019 10:13:50 GMT",
<http://web.archive.org/web/20200430091057/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Thu, 30 Apr 2020 09:10:57 GMT",
<http://web.archive.org/web/20200920065701/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sun, 20 Sep 2020 06:57:01 GMT",
<http://web.archive.org/web/20201018093252/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sun, 18 Oct 2020 09:32:52 GMT",
<http://web.archive.org/web/20201107010530/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sat, 07 Nov 2020 01:05:30 GMT",
<http://web.archive.org/web/20201112033607/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Thu, 12 Nov 2020 03:36:07 GMT",
<http://web.archive.org/web/20201203002619/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Thu, 03 Dec 2020 00:26:19 GMT",
<http://web.archive.org/web/20201208171020/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Tue, 08 Dec 2020 17:10:20 GMT",
<http://web.archive.org/web/20210205070131/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Fri, 05 Feb 2021 07:01:31 GMT",
<http://web.archive.org/web/20210508090041/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sat, 08 May 2021 09:00:41 GMT",
<http://web.archive.org/web/20210529195243/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Sat, 29 May 2021 19:52:43 GMT",
<http://web.archive.org/web/20210910092515/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Fri, 10 Sep 2021 09:25:15 GMT",
<http://web.archive.org/web/20211019112827/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Tue, 19 Oct 2021 11:28:27 GMT",
<http://web.archive.org/web/20211111041101/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Thu, 11 Nov 2021 04:11:01 GMT",
<http://web.archive.org/web/20220131145048/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Mon, 31 Jan 2022 14:50:48 GMT",
<http://web.archive.org/web/20220209081936/https://secure.actblue.com/donate/ks-website>; rel="memento"; datetime="Wed, 09 Feb 2022 08:19:36 GMT",
