<https://secure.actblue.com/donate/michael-bennet-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/michael-bennet-1>; rel="self"; type="application/link-format"; from="Wed, 12 Feb 2020 02:35:41 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/michael-bennet-1>; rel="timegate",
<http://web.archive.org/web/20200212023541/https://secure.actblue.com/donate/michael-bennet-1>; rel="first memento"; datetime="Wed, 12 Feb 2020 02:35:41 GMT",
<http://web.archive.org/web/20200212023543/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 12 Feb 2020 02:35:43 GMT",
<http://web.archive.org/web/20200418035718/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 18 Apr 2020 03:57:18 GMT",
<http://web.archive.org/web/20200609234344/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 09 Jun 2020 23:43:44 GMT",
<http://web.archive.org/web/20200630215530/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 30 Jun 2020 21:55:30 GMT",
<http://web.archive.org/web/20200816181743/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 16 Aug 2020 18:17:43 GMT",
<http://web.archive.org/web/20200820173137/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Thu, 20 Aug 2020 17:31:37 GMT",
<http://web.archive.org/web/20200822231649/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 22 Aug 2020 23:16:49 GMT",
<http://web.archive.org/web/20200920072333/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 20 Sep 2020 07:23:33 GMT",
<http://web.archive.org/web/20200922191938/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 22 Sep 2020 19:19:38 GMT",
<http://web.archive.org/web/20201005212136/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Mon, 05 Oct 2020 21:21:36 GMT",
<http://web.archive.org/web/20201018095124/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 18 Oct 2020 09:51:24 GMT",
<http://web.archive.org/web/20201107012257/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 07 Nov 2020 01:22:57 GMT",
<http://web.archive.org/web/20201107173711/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 07 Nov 2020 17:37:11 GMT",
<http://web.archive.org/web/20201125025057/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 25 Nov 2020 02:50:57 GMT",
<http://web.archive.org/web/20201203003355/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Thu, 03 Dec 2020 00:33:55 GMT",
<http://web.archive.org/web/20201208171511/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 08 Dec 2020 17:15:11 GMT",
<http://web.archive.org/web/20210107163333/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Thu, 07 Jan 2021 16:33:33 GMT",
<http://web.archive.org/web/20210205071053/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Fri, 05 Feb 2021 07:10:53 GMT",
<http://web.archive.org/web/20210213182756/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 13 Feb 2021 18:27:56 GMT",
<http://web.archive.org/web/20210224022659/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 24 Feb 2021 02:26:59 GMT",
<http://web.archive.org/web/20210322182547/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Mon, 22 Mar 2021 18:25:47 GMT",
<http://web.archive.org/web/20210422154101/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Thu, 22 Apr 2021 15:41:01 GMT",
<http://web.archive.org/web/20210508090442/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 08 May 2021 09:04:42 GMT",
<http://web.archive.org/web/20210608223819/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 08 Jun 2021 22:38:19 GMT",
<http://web.archive.org/web/20210609142823/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 09 Jun 2021 14:28:23 GMT",
<http://web.archive.org/web/20210908033135/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 08 Sep 2021 03:31:35 GMT",
<http://web.archive.org/web/20211116045303/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Tue, 16 Nov 2021 04:53:03 GMT",
<http://web.archive.org/web/20211117153347/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Wed, 17 Nov 2021 15:33:47 GMT",
<http://web.archive.org/web/20211219010252/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 19 Dec 2021 01:02:52 GMT",
<http://web.archive.org/web/20220205120104/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sat, 05 Feb 2022 12:01:04 GMT",
<http://web.archive.org/web/20220206165112/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 06 Feb 2022 16:51:12 GMT",
<http://web.archive.org/web/20220320172101/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 20 Mar 2022 17:21:01 GMT",
<http://web.archive.org/web/20220320172101/https://secure.actblue.com/donate/michael-bennet-1>; rel="memento"; datetime="Sun, 20 Mar 2022 17:21:01 GMT",
