<https://secure.actblue.com/donate/jwh>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/jwh>; rel="self"; type="application/link-format"; from="Wed, 15 Apr 2020 09:58:30 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/jwh>; rel="timegate",
<http://web.archive.org/web/20200415095830/https://secure.actblue.com/donate/jwh>; rel="first memento"; datetime="Wed, 15 Apr 2020 09:58:30 GMT",
<http://web.archive.org/web/20200416094429/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 16 Apr 2020 09:44:29 GMT",
<http://web.archive.org/web/20200425150041/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 25 Apr 2020 15:00:41 GMT",
<http://web.archive.org/web/20200518234635/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Mon, 18 May 2020 23:46:35 GMT",
<http://web.archive.org/web/20200527191658/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Wed, 27 May 2020 19:16:58 GMT",
<http://web.archive.org/web/20200606111724/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 06 Jun 2020 11:17:24 GMT",
<http://web.archive.org/web/20200606111935/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 06 Jun 2020 11:19:35 GMT",
<http://web.archive.org/web/20200617082609/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Wed, 17 Jun 2020 08:26:09 GMT",
<http://web.archive.org/web/20200827050938/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 27 Aug 2020 05:09:38 GMT",
<http://web.archive.org/web/20200902191615/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Wed, 02 Sep 2020 19:16:15 GMT",
<http://web.archive.org/web/20200920070129/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 20 Sep 2020 07:01:29 GMT",
<http://web.archive.org/web/20200920070130/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 20 Sep 2020 07:01:30 GMT",
<http://web.archive.org/web/20200924035051/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 24 Sep 2020 03:50:51 GMT",
<http://web.archive.org/web/20200930191604/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Wed, 30 Sep 2020 19:16:04 GMT",
<http://web.archive.org/web/20201006082431/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Tue, 06 Oct 2020 08:24:31 GMT",
<http://web.archive.org/web/20201007070420/http://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Wed, 07 Oct 2020 07:04:20 GMT",
<http://web.archive.org/web/20201008144534/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 08 Oct 2020 14:45:34 GMT",
<http://web.archive.org/web/20201018093540/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 18 Oct 2020 09:35:40 GMT",
<http://web.archive.org/web/20201031234848/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 31 Oct 2020 23:48:48 GMT",
<http://web.archive.org/web/20201106113107/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Fri, 06 Nov 2020 11:31:07 GMT",
<http://web.archive.org/web/20201107010940/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 07 Nov 2020 01:09:40 GMT",
<http://web.archive.org/web/20201203003116/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 03 Dec 2020 00:31:16 GMT",
<http://web.archive.org/web/20201208171315/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Tue, 08 Dec 2020 17:13:15 GMT",
<http://web.archive.org/web/20201213030127/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 13 Dec 2020 03:01:27 GMT",
<http://web.archive.org/web/20210205070904/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Fri, 05 Feb 2021 07:09:04 GMT",
<http://web.archive.org/web/20210508090355/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sat, 08 May 2021 09:03:55 GMT",
<http://web.archive.org/web/20210516101205/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 16 May 2021 10:12:05 GMT",
<http://web.archive.org/web/20210805063439/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 05 Aug 2021 06:34:39 GMT",
<http://web.archive.org/web/20210926162027/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Sun, 26 Sep 2021 16:20:27 GMT",
<http://web.archive.org/web/20211022181438/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Fri, 22 Oct 2021 18:14:38 GMT",
<http://web.archive.org/web/20211112035609/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Fri, 12 Nov 2021 03:56:09 GMT",
<http://web.archive.org/web/20220214160811/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Mon, 14 Feb 2022 16:08:11 GMT",
<http://web.archive.org/web/20220217044937/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Thu, 17 Feb 2022 04:49:37 GMT",
<http://web.archive.org/web/20220221183909/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Mon, 21 Feb 2022 18:39:09 GMT",
<http://web.archive.org/web/20220222224801/https://secure.actblue.com/donate/jwh>; rel="memento"; datetime="Tue, 22 Feb 2022 22:48:01 GMT",
