<https://secure.winred.com/perdueforsenate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/perdueforsenate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:33 GMT",
<http://web.archive.org/web/https://secure.winred.com/perdueforsenate>; rel="timegate",
<http://web.archive.org/web/20191014024733/https://secure.winred.com/perdueforsenate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:33 GMT",
<http://web.archive.org/web/20200627010241/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sat, 27 Jun 2020 01:02:41 GMT",
<http://web.archive.org/web/20200711032621/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sat, 11 Jul 2020 03:26:21 GMT",
<http://web.archive.org/web/20200816201148/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sun, 16 Aug 2020 20:11:48 GMT",
<http://web.archive.org/web/20200920125227/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sun, 20 Sep 2020 12:52:27 GMT",
<http://web.archive.org/web/20201018135030/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sun, 18 Oct 2020 13:50:30 GMT",
<http://web.archive.org/web/20201101005524/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sun, 01 Nov 2020 00:55:24 GMT",
<http://web.archive.org/web/20201102195831/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Mon, 02 Nov 2020 19:58:31 GMT",
<http://web.archive.org/web/20201105225312/http://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Thu, 05 Nov 2020 22:53:12 GMT",
<http://web.archive.org/web/20201114015909/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sat, 14 Nov 2020 01:59:09 GMT",
<http://web.archive.org/web/20201118111120/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Wed, 18 Nov 2020 11:11:20 GMT",
<http://web.archive.org/web/20201205121231/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sat, 05 Dec 2020 12:12:31 GMT",
<http://web.archive.org/web/20201208195001/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Tue, 08 Dec 2020 19:50:01 GMT",
<http://web.archive.org/web/20201219214409/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Sat, 19 Dec 2020 21:44:09 GMT",
<http://web.archive.org/web/20210105152308/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Tue, 05 Jan 2021 15:23:08 GMT",
<http://web.archive.org/web/20210128073025/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Thu, 28 Jan 2021 07:30:25 GMT",
<http://web.archive.org/web/20210205205828/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Fri, 05 Feb 2021 20:58:28 GMT",
<http://web.archive.org/web/20210309210543/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Tue, 09 Mar 2021 21:05:43 GMT",
<http://web.archive.org/web/20210416073858/https://secure.winred.com/perdueforsenate>; rel="memento"; datetime="Fri, 16 Apr 2021 07:38:58 GMT",
