<https://secure.actblue.com/donate/ejm2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ejm2020>; rel="self"; type="application/link-format"; from="Sun, 12 Apr 2020 19:58:18 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ejm2020>; rel="timegate",
<http://web.archive.org/web/20200412195818/https://secure.actblue.com/donate/ejm2020>; rel="first memento"; datetime="Sun, 12 Apr 2020 19:58:18 GMT",
<http://web.archive.org/web/20200420123008/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Mon, 20 Apr 2020 12:30:08 GMT",
<http://web.archive.org/web/20200512105214/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 12 May 2020 10:52:14 GMT",
<http://web.archive.org/web/20200612193404/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Fri, 12 Jun 2020 19:34:04 GMT",
<http://web.archive.org/web/20200627010744/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 27 Jun 2020 01:07:44 GMT",
<http://web.archive.org/web/20200628224224/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sun, 28 Jun 2020 22:42:24 GMT",
<http://web.archive.org/web/20200711090900/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 11 Jul 2020 09:09:00 GMT",
<http://web.archive.org/web/20200728145557/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 28 Jul 2020 14:55:57 GMT",
<http://web.archive.org/web/20200807220726/http://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Fri, 07 Aug 2020 22:07:26 GMT",
<http://web.archive.org/web/20200808125614/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 08 Aug 2020 12:56:14 GMT",
<http://web.archive.org/web/20200814233712/http://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Fri, 14 Aug 2020 23:37:12 GMT",
<http://web.archive.org/web/20200816232223/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sun, 16 Aug 2020 23:22:23 GMT",
<http://web.archive.org/web/20200818041910/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 18 Aug 2020 04:19:10 GMT",
<http://web.archive.org/web/20200822185727/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 22 Aug 2020 18:57:27 GMT",
<http://web.archive.org/web/20200825031004/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 25 Aug 2020 03:10:04 GMT",
<http://web.archive.org/web/20200828015812/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Fri, 28 Aug 2020 01:58:12 GMT",
<http://web.archive.org/web/20200829151319/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 29 Aug 2020 15:13:19 GMT",
<http://web.archive.org/web/20200901200045/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 01 Sep 2020 20:00:45 GMT",
<http://web.archive.org/web/20200901201906/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 01 Sep 2020 20:19:06 GMT",
<http://web.archive.org/web/20200901202145/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 01 Sep 2020 20:21:45 GMT",
<http://web.archive.org/web/20200901230246/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Tue, 01 Sep 2020 23:02:46 GMT",
<http://web.archive.org/web/20200917064823/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Thu, 17 Sep 2020 06:48:23 GMT",
<http://web.archive.org/web/20200920090843/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sun, 20 Sep 2020 09:08:43 GMT",
<http://web.archive.org/web/20200926230928/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 26 Sep 2020 23:09:28 GMT",
<http://web.archive.org/web/20201018110411/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sun, 18 Oct 2020 11:04:11 GMT",
<http://web.archive.org/web/20201101113547/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sun, 01 Nov 2020 11:35:47 GMT",
<http://web.archive.org/web/20201107024757/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Sat, 07 Nov 2020 02:47:57 GMT",
<http://web.archive.org/web/20201112000110/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Thu, 12 Nov 2020 00:01:10 GMT",
<http://web.archive.org/web/20201113031509/https://secure.actblue.com/donate/ejm2020>; rel="memento"; datetime="Fri, 13 Nov 2020 03:15:09 GMT",
