<https://secure.winred.com/kevinoconnor/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/kevinoconnor/donate>; rel="self"; type="application/link-format"; from="Thu, 27 Feb 2020 19:07:59 GMT",
<http://web.archive.org/web/https://secure.winred.com/kevinoconnor/donate>; rel="timegate",
<http://web.archive.org/web/20200227190759/https://secure.winred.com/kevinoconnor/donate>; rel="first memento"; datetime="Thu, 27 Feb 2020 19:07:59 GMT",
<http://web.archive.org/web/20200417085129/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Fri, 17 Apr 2020 08:51:29 GMT",
<http://web.archive.org/web/20200711090932/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 09:09:32 GMT",
<http://web.archive.org/web/20200807041544/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 04:15:44 GMT",
<http://web.archive.org/web/20200816232241/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 23:22:41 GMT",
<http://web.archive.org/web/20200920141436/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 14:14:36 GMT",
<http://web.archive.org/web/20200924213503/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:35:03 GMT",
<http://web.archive.org/web/20201018144352/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 14:43:52 GMT",
<http://web.archive.org/web/20201019202739/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Mon, 19 Oct 2020 20:27:39 GMT",
<http://web.archive.org/web/20201027094503/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Tue, 27 Oct 2020 09:45:03 GMT",
<http://web.archive.org/web/20201107064907/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:49:07 GMT",
<http://web.archive.org/web/20201113031423/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 03:14:23 GMT",
<http://web.archive.org/web/20201113031449/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 03:14:49 GMT",
<http://web.archive.org/web/20201114093546/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 09:35:46 GMT",
<http://web.archive.org/web/20201117042141/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 04:21:41 GMT",
<http://web.archive.org/web/20201129050625/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 29 Nov 2020 05:06:25 GMT",
<http://web.archive.org/web/20201231213421/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Thu, 31 Dec 2020 21:34:21 GMT",
<http://web.archive.org/web/20210118044049/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Mon, 18 Jan 2021 04:40:49 GMT",
<http://web.archive.org/web/20211017060634/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 06:06:34 GMT",
<http://web.archive.org/web/20211017193409/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 19:34:09 GMT",
<http://web.archive.org/web/20211019202758/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 20:27:58 GMT",
<http://web.archive.org/web/20211020102223/https://secure.winred.com/kevinoconnor/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 10:22:23 GMT",
