<https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="self"; type="application/link-format"; from="Tue, 31 Mar 2020 05:59:41 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="timegate",
<http://web.archive.org/web/20200331055941/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="first memento"; datetime="Tue, 31 Mar 2020 05:59:41 GMT",
<http://web.archive.org/web/20200407184412/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Tue, 07 Apr 2020 18:44:12 GMT",
<http://web.archive.org/web/20200426235947/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 26 Apr 2020 23:59:47 GMT",
<http://web.archive.org/web/20200427020137/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Mon, 27 Apr 2020 02:01:37 GMT",
<http://web.archive.org/web/20200605113409/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Fri, 05 Jun 2020 11:34:09 GMT",
<http://web.archive.org/web/20200607002319/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 07 Jun 2020 00:23:19 GMT",
<http://web.archive.org/web/20200626121956/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Fri, 26 Jun 2020 12:19:56 GMT",
<http://web.archive.org/web/20200812042820/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Wed, 12 Aug 2020 04:28:20 GMT",
<http://web.archive.org/web/20200825011029/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Tue, 25 Aug 2020 01:10:29 GMT",
<http://web.archive.org/web/20200825011109/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Tue, 25 Aug 2020 01:11:09 GMT",
<http://web.archive.org/web/20200825151130/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Tue, 25 Aug 2020 15:11:30 GMT",
<http://web.archive.org/web/20200907132919/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Mon, 07 Sep 2020 13:29:19 GMT",
<http://web.archive.org/web/20200920091745/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 20 Sep 2020 09:17:45 GMT",
<http://web.archive.org/web/20200920091753/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 20 Sep 2020 09:17:53 GMT",
<http://web.archive.org/web/20200920091754/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 20 Sep 2020 09:17:54 GMT",
<http://web.archive.org/web/20201029055433/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Thu, 29 Oct 2020 05:54:33 GMT",
<http://web.archive.org/web/20201101031815/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 01 Nov 2020 03:18:15 GMT",
<http://web.archive.org/web/20201106203854/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Fri, 06 Nov 2020 20:38:54 GMT",
<http://web.archive.org/web/20201107025424/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sat, 07 Nov 2020 02:54:24 GMT",
<http://web.archive.org/web/20201203012433/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Thu, 03 Dec 2020 01:24:33 GMT",
<http://web.archive.org/web/20201208175537/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Tue, 08 Dec 2020 17:55:37 GMT",
<http://web.archive.org/web/20201209043727/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Wed, 09 Dec 2020 04:37:27 GMT",
<http://web.archive.org/web/20210102094454/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sat, 02 Jan 2021 09:44:54 GMT",
<http://web.archive.org/web/20210205083848/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Fri, 05 Feb 2021 08:38:48 GMT",
<http://web.archive.org/web/20210507103550/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Fri, 07 May 2021 10:35:50 GMT",
<http://web.archive.org/web/20210520143543/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Thu, 20 May 2021 14:35:43 GMT",
<http://web.archive.org/web/20210912194851/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 12 Sep 2021 19:48:51 GMT",
<http://web.archive.org/web/20211024113703/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sun, 24 Oct 2021 11:37:03 GMT",
<http://web.archive.org/web/20211106132438/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Sat, 06 Nov 2021 13:24:38 GMT",
<http://web.archive.org/web/20211111211928/https://secure.actblue.com/donate/ew-web-warren-democrats>; rel="memento"; datetime="Thu, 11 Nov 2021 21:19:28 GMT",
