<https://secure.winred.com/susan-collins/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/susan-collins/donate>; rel="self"; type="application/link-format"; from="Fri, 03 Apr 2020 22:25:20 GMT",
<http://web.archive.org/web/https://secure.winred.com/susan-collins/donate>; rel="timegate",
<http://web.archive.org/web/20200403222520/https://secure.winred.com/susan-collins/donate>; rel="first memento"; datetime="Fri, 03 Apr 2020 22:25:20 GMT",
<http://web.archive.org/web/20200627102440/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sat, 27 Jun 2020 10:24:40 GMT",
<http://web.archive.org/web/20200816225310/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 22:53:10 GMT",
<http://web.archive.org/web/20200916001235/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Wed, 16 Sep 2020 00:12:35 GMT",
<http://web.archive.org/web/20200920003404/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 00:34:04 GMT",
<http://web.archive.org/web/20200920004506/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 00:45:06 GMT",
<http://web.archive.org/web/20200920013510/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 01:35:10 GMT",
<http://web.archive.org/web/20200920140716/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 14:07:16 GMT",
<http://web.archive.org/web/20200920185346/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 18:53:46 GMT",
<http://web.archive.org/web/20200922145955/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 14:59:55 GMT",
<http://web.archive.org/web/20201003010547/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 01:05:47 GMT",
<http://web.archive.org/web/20201018143927/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 14:39:27 GMT",
<http://web.archive.org/web/20201102232940/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 23:29:40 GMT",
<http://web.archive.org/web/20201104032536/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Wed, 04 Nov 2020 03:25:36 GMT",
<http://web.archive.org/web/20201105025240/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 02:52:40 GMT",
<http://web.archive.org/web/20201107064457/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 06:44:57 GMT",
<http://web.archive.org/web/20201113034702/https://secure.winred.com/susan-collins/donate>; rel="memento"; datetime="Fri, 13 Nov 2020 03:47:02 GMT",
