<https://secure.actblue.com/donate/gideon2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/gideon2020>; rel="self"; type="application/link-format"; from="Wed, 19 Feb 2020 23:01:24 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/gideon2020>; rel="timegate",
<http://web.archive.org/web/20200219230124/https://secure.actblue.com/donate/gideon2020>; rel="first memento"; datetime="Wed, 19 Feb 2020 23:01:24 GMT",
<http://web.archive.org/web/20200302030933/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Mon, 02 Mar 2020 03:09:33 GMT",
<http://web.archive.org/web/20200304195034/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Wed, 04 Mar 2020 19:50:34 GMT",
<http://web.archive.org/web/20200402125931/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Thu, 02 Apr 2020 12:59:31 GMT",
<http://web.archive.org/web/20200406135735/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Mon, 06 Apr 2020 13:57:35 GMT",
<http://web.archive.org/web/20200417004057/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Fri, 17 Apr 2020 00:40:57 GMT",
<http://web.archive.org/web/20200502225517/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sat, 02 May 2020 22:55:17 GMT",
<http://web.archive.org/web/20200731134236/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Fri, 31 Jul 2020 13:42:36 GMT",
<http://web.archive.org/web/20200826153725/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Wed, 26 Aug 2020 15:37:25 GMT",
<http://web.archive.org/web/20200907113716/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Mon, 07 Sep 2020 11:37:16 GMT",
<http://web.archive.org/web/20200920084629/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 20 Sep 2020 08:46:29 GMT",
<http://web.archive.org/web/20200920084630/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 20 Sep 2020 08:46:30 GMT",
<http://web.archive.org/web/20200920084630/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 20 Sep 2020 08:46:30 GMT",
<http://web.archive.org/web/20200928141646/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Mon, 28 Sep 2020 14:16:46 GMT",
<http://web.archive.org/web/20201001165508/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Thu, 01 Oct 2020 16:55:08 GMT",
<http://web.archive.org/web/20201002223136/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Fri, 02 Oct 2020 22:31:36 GMT",
<http://web.archive.org/web/20201006022618/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Tue, 06 Oct 2020 02:26:18 GMT",
<http://web.archive.org/web/20201008144533/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Thu, 08 Oct 2020 14:45:33 GMT",
<http://web.archive.org/web/20201018104741/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 18 Oct 2020 10:47:41 GMT",
<http://web.archive.org/web/20201101020850/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 01 Nov 2020 02:08:50 GMT",
<http://web.archive.org/web/20201107022906/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sat, 07 Nov 2020 02:29:06 GMT",
<http://web.archive.org/web/20201108162615/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 08 Nov 2020 16:26:15 GMT",
<http://web.archive.org/web/20201213193701/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 13 Dec 2020 19:37:01 GMT",
<http://web.archive.org/web/20210507025828/https://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Fri, 07 May 2021 02:58:28 GMT",
<http://web.archive.org/web/20220130011424/http://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Sun, 30 Jan 2022 01:14:24 GMT",
<http://web.archive.org/web/20220131211104/http://secure.actblue.com/donate/gideon2020>; rel="memento"; datetime="Mon, 31 Jan 2022 21:11:04 GMT",
