<https://secure.actblue.com/donate/kfm-webdonate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/kfm-webdonate>; rel="self"; type="application/link-format"; from="Tue, 23 Jun 2020 10:28:28 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/kfm-webdonate>; rel="timegate",
<http://web.archive.org/web/20200623102828/https://secure.actblue.com/donate/kfm-webdonate>; rel="first memento"; datetime="Tue, 23 Jun 2020 10:28:28 GMT",
<http://web.archive.org/web/20200920092632/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sun, 20 Sep 2020 09:26:32 GMT",
<http://web.archive.org/web/20200920092632/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sun, 20 Sep 2020 09:26:32 GMT",
<http://web.archive.org/web/20200920092633/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sun, 20 Sep 2020 09:26:33 GMT",
<http://web.archive.org/web/20201018111635/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sun, 18 Oct 2020 11:16:35 GMT",
<http://web.archive.org/web/20201107030107/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 07 Nov 2020 03:01:07 GMT",
<http://web.archive.org/web/20201107165807/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 07 Nov 2020 16:58:07 GMT",
<http://web.archive.org/web/20201111172558/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Wed, 11 Nov 2020 17:25:58 GMT",
<http://web.archive.org/web/20201115050949/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sun, 15 Nov 2020 05:09:49 GMT",
<http://web.archive.org/web/20201121194541/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 21 Nov 2020 19:45:41 GMT",
<http://web.archive.org/web/20201203014329/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 03 Dec 2020 01:43:29 GMT",
<http://web.archive.org/web/20201208181510/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Tue, 08 Dec 2020 18:15:10 GMT",
<http://web.archive.org/web/20210123072006/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 23 Jan 2021 07:20:06 GMT",
<http://web.archive.org/web/20210205090030/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Fri, 05 Feb 2021 09:00:30 GMT",
<http://web.archive.org/web/20210213014317/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 13 Feb 2021 01:43:17 GMT",
<http://web.archive.org/web/20210318164722/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 18 Mar 2021 16:47:22 GMT",
<http://web.archive.org/web/20210422195000/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 22 Apr 2021 19:50:00 GMT",
<http://web.archive.org/web/20210908015814/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Wed, 08 Sep 2021 01:58:14 GMT",
<http://web.archive.org/web/20211029185226/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Fri, 29 Oct 2021 18:52:26 GMT",
<http://web.archive.org/web/20211101011442/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Mon, 01 Nov 2021 01:14:42 GMT",
<http://web.archive.org/web/20211103215133/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Wed, 03 Nov 2021 21:51:33 GMT",
<http://web.archive.org/web/20211111025752/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 11 Nov 2021 02:57:52 GMT",
<http://web.archive.org/web/20211203201955/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Fri, 03 Dec 2021 20:19:55 GMT",
<http://web.archive.org/web/20211216193024/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 16 Dec 2021 19:30:24 GMT",
<http://web.archive.org/web/20220205064728/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Sat, 05 Feb 2022 06:47:28 GMT",
<http://web.archive.org/web/20220222062722/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Tue, 22 Feb 2022 06:27:22 GMT",
<http://web.archive.org/web/20220324130936/https://secure.actblue.com/donate/kfm-webdonate>; rel="memento"; datetime="Thu, 24 Mar 2022 13:09:36 GMT",
