<https://secure.winred.com/jason-lewis-for-senate/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="self"; type="application/link-format"; from="Wed, 08 Apr 2020 09:19:52 GMT",
<http://web.archive.org/web/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="timegate",
<http://web.archive.org/web/20200408091952/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="first memento"; datetime="Wed, 08 Apr 2020 09:19:52 GMT",
<http://web.archive.org/web/20200429071737/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 29 Apr 2020 07:17:37 GMT",
<http://web.archive.org/web/20200508085002/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Fri, 08 May 2020 08:50:02 GMT",
<http://web.archive.org/web/20200518163323/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 18 May 2020 16:33:23 GMT",
<http://web.archive.org/web/20200607173736/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 07 Jun 2020 17:37:36 GMT",
<http://web.archive.org/web/20200614044212/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 14 Jun 2020 04:42:12 GMT",
<http://web.archive.org/web/20200615030941/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 15 Jun 2020 03:09:41 GMT",
<http://web.archive.org/web/20200812025523/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 02:55:23 GMT",
<http://web.archive.org/web/20200817001019/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 00:10:19 GMT",
<http://web.archive.org/web/20200920142732/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 14:27:32 GMT",
<http://web.archive.org/web/20200922051529/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 05:15:29 GMT",
<http://web.archive.org/web/20200922131442/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 13:14:42 GMT",
<http://web.archive.org/web/20200928061228/https://secure.winred.com/jason-lewis-for-senate/donate>; rel="memento"; datetime="Mon, 28 Sep 2020 06:12:28 GMT",
