<https://secure.winred.com/roy-blunt/website2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/roy-blunt/website2020>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 10:23:59 GMT",
<http://web.archive.org/web/https://secure.winred.com/roy-blunt/website2020>; rel="timegate",
<http://web.archive.org/web/20200711102359/https://secure.winred.com/roy-blunt/website2020>; rel="first memento"; datetime="Sat, 11 Jul 2020 10:23:59 GMT",
<http://web.archive.org/web/20200812065354/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Wed, 12 Aug 2020 06:53:54 GMT",
<http://web.archive.org/web/20200817004844/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Mon, 17 Aug 2020 00:48:44 GMT",
<http://web.archive.org/web/20200920144033/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Sun, 20 Sep 2020 14:40:33 GMT",
<http://web.archive.org/web/20200926084735/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Sat, 26 Sep 2020 08:47:35 GMT",
<http://web.archive.org/web/20201018150348/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Sun, 18 Oct 2020 15:03:48 GMT",
<http://web.archive.org/web/20201022035200/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Thu, 22 Oct 2020 03:52:00 GMT",
<http://web.archive.org/web/20201107070526/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Sat, 07 Nov 2020 07:05:26 GMT",
<http://web.archive.org/web/20201125112306/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Wed, 25 Nov 2020 11:23:06 GMT",
<http://web.archive.org/web/20201203041859/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Thu, 03 Dec 2020 04:18:59 GMT",
<http://web.archive.org/web/20201208205230/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Tue, 08 Dec 2020 20:52:30 GMT",
<http://web.archive.org/web/20210115114441/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Fri, 15 Jan 2021 11:44:41 GMT",
<http://web.archive.org/web/20210120194340/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Wed, 20 Jan 2021 19:43:40 GMT",
<http://web.archive.org/web/20210205215230/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Fri, 05 Feb 2021 21:52:30 GMT",
<http://web.archive.org/web/20210225080430/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Thu, 25 Feb 2021 08:04:30 GMT",
<http://web.archive.org/web/20210423083732/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Fri, 23 Apr 2021 08:37:32 GMT",
<http://web.archive.org/web/20210518081628/https://secure.winred.com/roy-blunt/website2020>; rel="memento"; datetime="Tue, 18 May 2021 08:16:28 GMT",
