<https://secure.winred.com/wicker-for-senate/donate_home>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/wicker-for-senate/donate_home>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:26 GMT",
<http://web.archive.org/web/https://secure.winred.com/wicker-for-senate/donate_home>; rel="timegate",
<http://web.archive.org/web/20191014024726/https://secure.winred.com/wicker-for-senate/donate_home>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:26 GMT",
<http://web.archive.org/web/20191014024831/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:31 GMT",
<http://web.archive.org/web/20191014024842/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:42 GMT",
<http://web.archive.org/web/20191014025014/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Mon, 14 Oct 2019 02:50:14 GMT",
<http://web.archive.org/web/20200711101352/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sat, 11 Jul 2020 10:13:52 GMT",
<http://web.archive.org/web/20200817003413/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Mon, 17 Aug 2020 00:34:13 GMT",
<http://web.archive.org/web/20200920143502/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sun, 20 Sep 2020 14:35:02 GMT",
<http://web.archive.org/web/20200922134407/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Tue, 22 Sep 2020 13:44:07 GMT",
<http://web.archive.org/web/20201018145916/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sun, 18 Oct 2020 14:59:16 GMT",
<http://web.archive.org/web/20201107070229/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sat, 07 Nov 2020 07:02:29 GMT",
<http://web.archive.org/web/20201201081331/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Tue, 01 Dec 2020 08:13:31 GMT",
<http://web.archive.org/web/20201203041504/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Thu, 03 Dec 2020 04:15:04 GMT",
<http://web.archive.org/web/20201208204816/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Tue, 08 Dec 2020 20:48:16 GMT",
<http://web.archive.org/web/20210205214941/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Fri, 05 Feb 2021 21:49:41 GMT",
<http://web.archive.org/web/20210307081414/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sun, 07 Mar 2021 08:14:14 GMT",
<http://web.archive.org/web/20211017165549/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Sun, 17 Oct 2021 16:55:49 GMT",
<http://web.archive.org/web/20211018093256/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Mon, 18 Oct 2021 09:32:56 GMT",
<http://web.archive.org/web/20211020054520/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Wed, 20 Oct 2021 05:45:20 GMT",
<http://web.archive.org/web/20211020214839/https://secure.winred.com/wicker-for-senate/donate_home>; rel="memento"; datetime="Wed, 20 Oct 2021 21:48:39 GMT",
