<https://secure.actblue.com/donate/sb-homepage>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/sb-homepage>; rel="self"; type="application/link-format"; from="Sun, 15 Mar 2020 05:13:59 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/sb-homepage>; rel="timegate",
<http://web.archive.org/web/20200315051359/https://secure.actblue.com/donate/sb-homepage>; rel="first memento"; datetime="Sun, 15 Mar 2020 05:13:59 GMT",
<http://web.archive.org/web/20200404050350/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 04 Apr 2020 05:03:50 GMT",
<http://web.archive.org/web/20200428151049/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Tue, 28 Apr 2020 15:10:49 GMT",
<http://web.archive.org/web/20200615032655/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Mon, 15 Jun 2020 03:26:55 GMT",
<http://web.archive.org/web/20200617195827/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Wed, 17 Jun 2020 19:58:27 GMT",
<http://web.archive.org/web/20200617200230/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Wed, 17 Jun 2020 20:02:30 GMT",
<http://web.archive.org/web/20200617200359/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Wed, 17 Jun 2020 20:03:59 GMT",
<http://web.archive.org/web/20200723075115/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Thu, 23 Jul 2020 07:51:15 GMT",
<http://web.archive.org/web/20200814122550/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Fri, 14 Aug 2020 12:25:50 GMT",
<http://web.archive.org/web/20200906013344/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 06 Sep 2020 01:33:44 GMT",
<http://web.archive.org/web/20200912054846/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 12 Sep 2020 05:48:46 GMT",
<http://web.archive.org/web/20200920093103/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 20 Sep 2020 09:31:03 GMT",
<http://web.archive.org/web/20200927114701/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 27 Sep 2020 11:47:01 GMT",
<http://web.archive.org/web/20200929190632/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Tue, 29 Sep 2020 19:06:32 GMT",
<http://web.archive.org/web/20201006004737/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Tue, 06 Oct 2020 00:47:37 GMT",
<http://web.archive.org/web/20201008144523/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Thu, 08 Oct 2020 14:45:23 GMT",
<http://web.archive.org/web/20201018111951/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 18 Oct 2020 11:19:51 GMT",
<http://web.archive.org/web/20201101102817/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 01 Nov 2020 10:28:17 GMT",
<http://web.archive.org/web/20201102185353/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Mon, 02 Nov 2020 18:53:53 GMT",
<http://web.archive.org/web/20201107030503/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 07 Nov 2020 03:05:03 GMT",
<http://web.archive.org/web/20201213010838/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sun, 13 Dec 2020 01:08:38 GMT",
<http://web.archive.org/web/20201230180336/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Wed, 30 Dec 2020 18:03:36 GMT",
<http://web.archive.org/web/20210508204445/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 08 May 2021 20:44:45 GMT",
<http://web.archive.org/web/20210511155856/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Tue, 11 May 2021 15:58:56 GMT",
<http://web.archive.org/web/20210619235057/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 19 Jun 2021 23:50:57 GMT",
<http://web.archive.org/web/20210914112913/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Tue, 14 Sep 2021 11:29:13 GMT",
<http://web.archive.org/web/20211023112726/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Sat, 23 Oct 2021 11:27:26 GMT",
<http://web.archive.org/web/20211206013009/https://secure.actblue.com/donate/sb-homepage>; rel="memento"; datetime="Mon, 06 Dec 2021 01:30:09 GMT",
