<https://secure.winred.com/steve-daines/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/steve-daines/donate>; rel="self"; type="application/link-format"; from="Wed, 11 Dec 2019 23:00:42 GMT",
<http://web.archive.org/web/https://secure.winred.com/steve-daines/donate>; rel="timegate",
<http://web.archive.org/web/20191211230042/https://secure.winred.com/steve-daines/donate>; rel="first memento"; datetime="Wed, 11 Dec 2019 23:00:42 GMT",
<http://web.archive.org/web/20200529035134/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 29 May 2020 03:51:34 GMT",
<http://web.archive.org/web/20200627011046/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 27 Jun 2020 01:10:46 GMT",
<http://web.archive.org/web/20200711103317/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 10:33:17 GMT",
<http://web.archive.org/web/20200812071454/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 07:14:54 GMT",
<http://web.archive.org/web/20200817010416/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 01:04:16 GMT",
<http://web.archive.org/web/20200904124612/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 04 Sep 2020 12:46:12 GMT",
<http://web.archive.org/web/20200920144250/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 14:42:50 GMT",
<http://web.archive.org/web/20201001091807/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 09:18:07 GMT",
<http://web.archive.org/web/20201003103751/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 10:37:51 GMT",
<http://web.archive.org/web/20201018150528/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 15:05:28 GMT",
<http://web.archive.org/web/20201020030224/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Tue, 20 Oct 2020 03:02:24 GMT",
<http://web.archive.org/web/20201022070342/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Thu, 22 Oct 2020 07:03:42 GMT",
<http://web.archive.org/web/20201103215025/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 21:50:25 GMT",
<http://web.archive.org/web/20201106071657/https://secure.winred.com/steve-daines/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:16:57 GMT",
