<https://secure.winred.com/cramer-for-senate/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/cramer-for-senate/contribute>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:39 GMT",
<http://web.archive.org/web/https://secure.winred.com/cramer-for-senate/contribute>; rel="timegate",
<http://web.archive.org/web/20191014024839/https://secure.winred.com/cramer-for-senate/contribute>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:39 GMT",
<http://web.archive.org/web/20191014025009/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Mon, 14 Oct 2019 02:50:09 GMT",
<http://web.archive.org/web/20200812062046/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Wed, 12 Aug 2020 06:20:46 GMT",
<http://web.archive.org/web/20200817040354/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Mon, 17 Aug 2020 04:03:54 GMT",
<http://web.archive.org/web/20200920152750/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Sun, 20 Sep 2020 15:27:50 GMT",
<http://web.archive.org/web/20201001073757/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Thu, 01 Oct 2020 07:37:57 GMT",
<http://web.archive.org/web/20201018153319/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Sun, 18 Oct 2020 15:33:19 GMT",
<http://web.archive.org/web/20201030070917/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Fri, 30 Oct 2020 07:09:17 GMT",
<http://web.archive.org/web/20201107073433/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Sat, 07 Nov 2020 07:34:33 GMT",
<http://web.archive.org/web/20201113205137/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Fri, 13 Nov 2020 20:51:37 GMT",
<http://web.archive.org/web/20201125103935/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Wed, 25 Nov 2020 10:39:35 GMT",
<http://web.archive.org/web/20201203044108/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Thu, 03 Dec 2020 04:41:08 GMT",
<http://web.archive.org/web/20201208210654/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Tue, 08 Dec 2020 21:06:54 GMT",
<http://web.archive.org/web/20210125095718/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Mon, 25 Jan 2021 09:57:18 GMT",
<http://web.archive.org/web/20210205220851/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Fri, 05 Feb 2021 22:08:51 GMT",
<http://web.archive.org/web/20210224202546/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Wed, 24 Feb 2021 20:25:46 GMT",
<http://web.archive.org/web/20210228031825/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Sun, 28 Feb 2021 03:18:25 GMT",
<http://web.archive.org/web/20210423073858/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Fri, 23 Apr 2021 07:38:58 GMT",
<http://web.archive.org/web/20210518072221/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Tue, 18 May 2021 07:22:21 GMT",
<http://web.archive.org/web/20211018072549/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Mon, 18 Oct 2021 07:25:49 GMT",
<http://web.archive.org/web/20211018213937/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Mon, 18 Oct 2021 21:39:37 GMT",
<http://web.archive.org/web/20211019013837/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 01:38:37 GMT",
<http://web.archive.org/web/20211020161958/https://secure.winred.com/cramer-for-senate/contribute>; rel="memento"; datetime="Wed, 20 Oct 2021 16:19:58 GMT",
