<https://secure.actblue.com/donate/corybooker-2020-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/corybooker-2020-website>; rel="self"; type="application/link-format"; from="Sat, 25 Apr 2020 05:34:55 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/corybooker-2020-website>; rel="timegate",
<http://web.archive.org/web/20200425053455/https://secure.actblue.com/donate/corybooker-2020-website>; rel="first memento"; datetime="Sat, 25 Apr 2020 05:34:55 GMT",
<http://web.archive.org/web/20200512061752/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Tue, 12 May 2020 06:17:52 GMT",
<http://web.archive.org/web/20200711121317/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 11 Jul 2020 12:13:17 GMT",
<http://web.archive.org/web/20200711121318/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 11 Jul 2020 12:13:18 GMT",
<http://web.archive.org/web/20200711121319/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 11 Jul 2020 12:13:19 GMT",
<http://web.archive.org/web/20200711121320/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 11 Jul 2020 12:13:20 GMT",
<http://web.archive.org/web/20200714010118/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Tue, 14 Jul 2020 01:01:18 GMT",
<http://web.archive.org/web/20200817020445/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 17 Aug 2020 02:04:45 GMT",
<http://web.archive.org/web/20200820203842/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Thu, 20 Aug 2020 20:38:42 GMT",
<http://web.archive.org/web/20200920095554/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sun, 20 Sep 2020 09:55:54 GMT",
<http://web.archive.org/web/20200920095555/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sun, 20 Sep 2020 09:55:55 GMT",
<http://web.archive.org/web/20201003144624/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 03 Oct 2020 14:46:24 GMT",
<http://web.archive.org/web/20201018113829/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sun, 18 Oct 2020 11:38:29 GMT",
<http://web.archive.org/web/20201101032543/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sun, 01 Nov 2020 03:25:43 GMT",
<http://web.archive.org/web/20201107032126/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sat, 07 Nov 2020 03:21:26 GMT",
<http://web.archive.org/web/20201112182613/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Thu, 12 Nov 2020 18:26:13 GMT",
<http://web.archive.org/web/20201125023348/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Wed, 25 Nov 2020 02:33:48 GMT",
<http://web.archive.org/web/20201203015630/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Thu, 03 Dec 2020 01:56:30 GMT",
<http://web.archive.org/web/20201208182851/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Tue, 08 Dec 2020 18:28:51 GMT",
<http://web.archive.org/web/20210205091027/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Fri, 05 Feb 2021 09:10:27 GMT",
<http://web.archive.org/web/20210510223531/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 10 May 2021 22:35:31 GMT",
<http://web.archive.org/web/20210813170547/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Fri, 13 Aug 2021 17:05:47 GMT",
<http://web.archive.org/web/20210825003432/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Wed, 25 Aug 2021 00:34:32 GMT",
<http://web.archive.org/web/20210913165700/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 13 Sep 2021 16:57:00 GMT",
<http://web.archive.org/web/20211018005222/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 18 Oct 2021 00:52:22 GMT",
<http://web.archive.org/web/20211018180504/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 18 Oct 2021 18:05:04 GMT",
<http://web.archive.org/web/20211020124529/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Wed, 20 Oct 2021 12:45:29 GMT",
<http://web.archive.org/web/20211021114023/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Thu, 21 Oct 2021 11:40:23 GMT",
<http://web.archive.org/web/20211205143033/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Sun, 05 Dec 2021 14:30:33 GMT",
<http://web.archive.org/web/20220214084708/https://secure.actblue.com/donate/corybooker-2020-website>; rel="memento"; datetime="Mon, 14 Feb 2022 08:47:08 GMT",
