<https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="self"; type="application/link-format"; from="Sat, 19 Oct 2019 01:46:31 GMT",
<http://web.archive.org/web/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="timegate",
<http://web.archive.org/web/20191019014631/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="first memento"; datetime="Sat, 19 Oct 2019 01:46:31 GMT",
<http://web.archive.org/web/20200627011115/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sat, 27 Jun 2020 01:11:15 GMT",
<http://web.archive.org/web/20200701204954/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Wed, 01 Jul 2020 20:49:54 GMT",
<http://web.archive.org/web/20200711122210/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sat, 11 Jul 2020 12:22:10 GMT",
<http://web.archive.org/web/20200812041747/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Wed, 12 Aug 2020 04:17:47 GMT",
<http://web.archive.org/web/20200817020354/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Mon, 17 Aug 2020 02:03:54 GMT",
<http://web.archive.org/web/20200908053014/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Tue, 08 Sep 2020 05:30:14 GMT",
<http://web.archive.org/web/20200908080844/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Tue, 08 Sep 2020 08:08:44 GMT",
<http://web.archive.org/web/20200920150032/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 20 Sep 2020 15:00:32 GMT",
<http://web.archive.org/web/20201001091118/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Thu, 01 Oct 2020 09:11:18 GMT",
<http://web.archive.org/web/20201004050422/https://secure.winred.com/rik-mehta-for-senate/action-60545>; rel="memento"; datetime="Sun, 04 Oct 2020 05:04:22 GMT",
