<https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="self"; type="application/link-format"; from="Sun, 12 Jan 2020 22:17:47 GMT",
<http://web.archive.org/web/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="timegate",
<http://web.archive.org/web/20200112221747/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="first memento"; datetime="Sun, 12 Jan 2020 22:17:47 GMT",
<http://web.archive.org/web/20200427162555/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Mon, 27 Apr 2020 16:25:55 GMT",
<http://web.archive.org/web/20200627011400/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sat, 27 Jun 2020 01:14:00 GMT",
<http://web.archive.org/web/20200630130516/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Tue, 30 Jun 2020 13:05:16 GMT",
<http://web.archive.org/web/20200812065241/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 06:52:41 GMT",
<http://web.archive.org/web/20200920150754/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 15:07:54 GMT",
<http://web.archive.org/web/20200920180944/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 18:09:44 GMT",
<http://web.archive.org/web/20201001083609/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 08:36:09 GMT",
<http://web.archive.org/web/20201018152011/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 15:20:11 GMT",
<http://web.archive.org/web/20201027093331/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Tue, 27 Oct 2020 09:33:31 GMT",
<http://web.archive.org/web/20201107072209/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 07:22:09 GMT",
<http://web.archive.org/web/20201112080813/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 08:08:13 GMT",
<http://web.archive.org/web/20201112081138/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 08:11:38 GMT",
<http://web.archive.org/web/20201115180744/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 18:07:44 GMT",
<http://web.archive.org/web/20201117162230/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 16:22:30 GMT",
<http://web.archive.org/web/20210105201626/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 20:16:26 GMT",
<http://web.archive.org/web/20210114152603/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Thu, 14 Jan 2021 15:26:03 GMT",
<http://web.archive.org/web/20211031001246/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Sun, 31 Oct 2021 00:12:46 GMT",
<http://web.archive.org/web/20211213205328/https://secure.winred.com/mark-ronchetti-for-new-mexico/donate>; rel="memento"; datetime="Mon, 13 Dec 2021 20:53:28 GMT",
