<https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="self"; type="application/link-format"; from="Wed, 13 May 2020 00:19:32 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="timegate",
<http://web.archive.org/web/20200513001932/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="first memento"; datetime="Wed, 13 May 2020 00:19:32 GMT",
<http://web.archive.org/web/20200612215114/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Fri, 12 Jun 2020 21:51:14 GMT",
<http://web.archive.org/web/20200711122845/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Sat, 11 Jul 2020 12:28:45 GMT",
<http://web.archive.org/web/20200817031022/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Mon, 17 Aug 2020 03:10:22 GMT",
<http://web.archive.org/web/20200817141648/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Mon, 17 Aug 2020 14:16:48 GMT",
<http://web.archive.org/web/20200820210031/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Thu, 20 Aug 2020 21:00:31 GMT",
<http://web.archive.org/web/20200920100708/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Sun, 20 Sep 2020 10:07:08 GMT",
<http://web.archive.org/web/20200922143340/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Tue, 22 Sep 2020 14:33:40 GMT",
<http://web.archive.org/web/20201015053458/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Thu, 15 Oct 2020 05:34:58 GMT",
<http://web.archive.org/web/20201018114607/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Sun, 18 Oct 2020 11:46:07 GMT",
<http://web.archive.org/web/20201107033102/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Sat, 07 Nov 2020 03:31:02 GMT",
<http://web.archive.org/web/20201203020341/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Thu, 03 Dec 2020 02:03:41 GMT",
<http://web.archive.org/web/20201208183507/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Tue, 08 Dec 2020 18:35:07 GMT",
<http://web.archive.org/web/20210205193726/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Fri, 05 Feb 2021 19:37:26 GMT",
<http://web.archive.org/web/20210303092536/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Wed, 03 Mar 2021 09:25:36 GMT",
<http://web.archive.org/web/20210517203644/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Mon, 17 May 2021 20:36:44 GMT",
<http://web.archive.org/web/20210926162129/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Sun, 26 Sep 2021 16:21:29 GMT",
<http://web.archive.org/web/20211020012412/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Wed, 20 Oct 2021 01:24:12 GMT",
<http://web.archive.org/web/20211020132223/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Wed, 20 Oct 2021 13:22:23 GMT",
<http://web.archive.org/web/20211022000737/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Fri, 22 Oct 2021 00:07:37 GMT",
<http://web.archive.org/web/20211126015039/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Fri, 26 Nov 2021 01:50:39 GMT",
<http://web.archive.org/web/20220120033135/https://secure.actblue.com/donate/kirsten-gillibrand-4>; rel="memento"; datetime="Thu, 20 Jan 2022 03:31:35 GMT",
