<https://secure.actblue.com/donate/ab-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ab-website>; rel="self"; type="application/link-format"; from="Wed, 04 Mar 2020 18:02:24 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ab-website>; rel="timegate",
<http://web.archive.org/web/20200304180224/https://secure.actblue.com/donate/ab-website>; rel="first memento"; datetime="Wed, 04 Mar 2020 18:02:24 GMT",
<http://web.archive.org/web/20200416094613/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Thu, 16 Apr 2020 09:46:13 GMT",
<http://web.archive.org/web/20200627011339/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sat, 27 Jun 2020 01:13:39 GMT",
<http://web.archive.org/web/20200627011349/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sat, 27 Jun 2020 01:13:49 GMT",
<http://web.archive.org/web/20200817044259/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Mon, 17 Aug 2020 04:42:59 GMT",
<http://web.archive.org/web/20200824053912/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Mon, 24 Aug 2020 05:39:12 GMT",
<http://web.archive.org/web/20200830143137/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 30 Aug 2020 14:31:37 GMT",
<http://web.archive.org/web/20200920102250/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 20 Sep 2020 10:22:50 GMT",
<http://web.archive.org/web/20200920102251/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 20 Sep 2020 10:22:51 GMT",
<http://web.archive.org/web/20201003223102/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sat, 03 Oct 2020 22:31:02 GMT",
<http://web.archive.org/web/20201018115858/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 18 Oct 2020 11:58:58 GMT",
<http://web.archive.org/web/20201023153019/http://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Fri, 23 Oct 2020 15:30:19 GMT",
<http://web.archive.org/web/20201101044021/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 01 Nov 2020 04:40:21 GMT",
<http://web.archive.org/web/20201103075648/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Tue, 03 Nov 2020 07:56:48 GMT",
<http://web.archive.org/web/20201105060948/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Thu, 05 Nov 2020 06:09:48 GMT",
<http://web.archive.org/web/20201107034505/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sat, 07 Nov 2020 03:45:05 GMT",
<http://web.archive.org/web/20201109192752/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Mon, 09 Nov 2020 19:27:52 GMT",
<http://web.archive.org/web/20201110105344/http://secure.actblue.com/donate/ab-website/>; rel="memento"; datetime="Tue, 10 Nov 2020 10:53:44 GMT",
<http://web.archive.org/web/20201110105345/https://secure.actblue.com/donate/ab-website/>; rel="memento"; datetime="Tue, 10 Nov 2020 10:53:45 GMT",
<http://web.archive.org/web/20201115002857/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 15 Nov 2020 00:28:57 GMT",
<http://web.archive.org/web/20210124105000/https://secure.actblue.com/donate/ab-website>; rel="memento"; datetime="Sun, 24 Jan 2021 10:50:00 GMT",
