<https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="self"; type="application/link-format"; from="Mon, 03 Jun 2019 01:45:32 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="timegate",
<http://web.archive.org/web/20190603014532/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="first memento"; datetime="Mon, 03 Jun 2019 01:45:32 GMT",
<http://web.archive.org/web/20190611150900/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 11 Jun 2019 15:09:00 GMT",
<http://web.archive.org/web/20190718145026/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 18 Jul 2019 14:50:26 GMT",
<http://web.archive.org/web/20191201235909/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 01 Dec 2019 23:59:09 GMT",
<http://web.archive.org/web/20200303104757/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 03 Mar 2020 10:47:57 GMT",
<http://web.archive.org/web/20200315013125/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 15 Mar 2020 01:31:25 GMT",
<http://web.archive.org/web/20200401203836/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 01 Apr 2020 20:38:36 GMT",
<http://web.archive.org/web/20200401225043/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 01 Apr 2020 22:50:43 GMT",
<http://web.archive.org/web/20200419153815/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 19 Apr 2020 15:38:15 GMT",
<http://web.archive.org/web/20200601024944/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Mon, 01 Jun 2020 02:49:44 GMT",
<http://web.archive.org/web/20200620074141/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 20 Jun 2020 07:41:41 GMT",
<http://web.archive.org/web/20200818162655/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 18 Aug 2020 16:26:55 GMT",
<http://web.archive.org/web/20200826083104/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 26 Aug 2020 08:31:04 GMT",
<http://web.archive.org/web/20200912225235/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 12 Sep 2020 22:52:35 GMT",
<http://web.archive.org/web/20200920103400/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 20 Sep 2020 10:34:00 GMT",
<http://web.archive.org/web/20200920232834/http://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 20 Sep 2020 23:28:34 GMT",
<http://web.archive.org/web/20200923140301/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 23 Sep 2020 14:03:01 GMT",
<http://web.archive.org/web/20200929050944/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 29 Sep 2020 05:09:44 GMT",
<http://web.archive.org/web/20201008144525/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 08 Oct 2020 14:45:25 GMT",
<http://web.archive.org/web/20201017145449/http://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 17 Oct 2020 14:54:49 GMT",
<http://web.archive.org/web/20201018120740/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 18 Oct 2020 12:07:40 GMT",
<http://web.archive.org/web/20201020043411/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 20 Oct 2020 04:34:11 GMT",
<http://web.archive.org/web/20201024140856/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 24 Oct 2020 14:08:56 GMT",
<http://web.archive.org/web/20201030232709/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 30 Oct 2020 23:27:09 GMT",
<http://web.archive.org/web/20201101021743/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 01 Nov 2020 02:17:43 GMT",
<http://web.archive.org/web/20201107035611/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 07 Nov 2020 03:56:11 GMT",
<http://web.archive.org/web/20201115100340/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 15 Nov 2020 10:03:40 GMT",
<http://web.archive.org/web/20201121125553/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 21 Nov 2020 12:55:53 GMT",
<http://web.archive.org/web/20201121205303/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 21 Nov 2020 20:53:03 GMT",
<http://web.archive.org/web/20201212224743/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sat, 12 Dec 2020 22:47:43 GMT",
<http://web.archive.org/web/20201214073356/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Mon, 14 Dec 2020 07:33:56 GMT",
<http://web.archive.org/web/20201224141647/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 24 Dec 2020 14:16:47 GMT",
<http://web.archive.org/web/20201231162630/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 31 Dec 2020 16:26:30 GMT",
<http://web.archive.org/web/20210101114004/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 01 Jan 2021 11:40:04 GMT",
<http://web.archive.org/web/20210108110941/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 08 Jan 2021 11:09:41 GMT",
<http://web.archive.org/web/20210115144307/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 15 Jan 2021 14:43:07 GMT",
<http://web.archive.org/web/20210128123040/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 28 Jan 2021 12:30:40 GMT",
<http://web.archive.org/web/20210204085810/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 04 Feb 2021 08:58:10 GMT",
<http://web.archive.org/web/20210210220258/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 10 Feb 2021 22:02:58 GMT",
<http://web.archive.org/web/20210211210256/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 11 Feb 2021 21:02:56 GMT",
<http://web.archive.org/web/20210218163538/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 18 Feb 2021 16:35:38 GMT",
<http://web.archive.org/web/20210226013116/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 26 Feb 2021 01:31:16 GMT",
<http://web.archive.org/web/20210319124406/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 19 Mar 2021 12:44:06 GMT",
<http://web.archive.org/web/20210325113132/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 25 Mar 2021 11:31:32 GMT",
<http://web.archive.org/web/20210401105223/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 01 Apr 2021 10:52:23 GMT",
<http://web.archive.org/web/20210409102208/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 09 Apr 2021 10:22:08 GMT",
<http://web.archive.org/web/20210416013916/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 16 Apr 2021 01:39:16 GMT",
<http://web.archive.org/web/20210423014948/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 23 Apr 2021 01:49:48 GMT",
<http://web.archive.org/web/20210428191435/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 28 Apr 2021 19:14:35 GMT",
<http://web.archive.org/web/20210512192111/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 12 May 2021 19:21:11 GMT",
<http://web.archive.org/web/20210516053805/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Sun, 16 May 2021 05:38:05 GMT",
<http://web.archive.org/web/20210604040759/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Fri, 04 Jun 2021 04:07:59 GMT",
<http://web.archive.org/web/20210610091252/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Thu, 10 Jun 2021 09:12:52 GMT",
<http://web.archive.org/web/20210623145248/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 23 Jun 2021 14:52:48 GMT",
<http://web.archive.org/web/20210630042419/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Wed, 30 Jun 2021 04:24:19 GMT",
<http://web.archive.org/web/20220222232848/https://secure.actblue.com/donate/ms_harrison_fr_homepage_2019>; rel="memento"; datetime="Tue, 22 Feb 2022 23:28:48 GMT",
