<https://secure.winred.com/teamhagerty/launch>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/teamhagerty/launch>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:23 GMT",
<http://web.archive.org/web/https://secure.winred.com/teamhagerty/launch>; rel="timegate",
<http://web.archive.org/web/20191014024823/https://secure.winred.com/teamhagerty/launch>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:23 GMT",
<http://web.archive.org/web/20191014024947/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Mon, 14 Oct 2019 02:49:47 GMT",
<http://web.archive.org/web/20200627011816/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sat, 27 Jun 2020 01:18:16 GMT",
<http://web.archive.org/web/20200731225907/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 31 Jul 2020 22:59:07 GMT",
<http://web.archive.org/web/20200817062215/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Mon, 17 Aug 2020 06:22:15 GMT",
<http://web.archive.org/web/20200821133247/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 21 Aug 2020 13:32:47 GMT",
<http://web.archive.org/web/20200920160613/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sun, 20 Sep 2020 16:06:13 GMT",
<http://web.archive.org/web/20200920172529/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sun, 20 Sep 2020 17:25:29 GMT",
<http://web.archive.org/web/20201018160203/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sun, 18 Oct 2020 16:02:03 GMT",
<http://web.archive.org/web/20201030204346/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 30 Oct 2020 20:43:46 GMT",
<http://web.archive.org/web/20201030214946/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 30 Oct 2020 21:49:46 GMT",
<http://web.archive.org/web/20201102062838/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Mon, 02 Nov 2020 06:28:38 GMT",
<http://web.archive.org/web/20201106071950/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 06 Nov 2020 07:19:50 GMT",
<http://web.archive.org/web/20201106121613/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 06 Nov 2020 12:16:13 GMT",
<http://web.archive.org/web/20201107080050/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sat, 07 Nov 2020 08:00:50 GMT",
<http://web.archive.org/web/20201108040230/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sun, 08 Nov 2020 04:02:30 GMT",
<http://web.archive.org/web/20201116012432/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Mon, 16 Nov 2020 01:24:32 GMT",
<http://web.archive.org/web/20201126013947/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Thu, 26 Nov 2020 01:39:47 GMT",
<http://web.archive.org/web/20201126095358/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Thu, 26 Nov 2020 09:53:58 GMT",
<http://web.archive.org/web/20201126095359/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Thu, 26 Nov 2020 09:53:59 GMT",
<http://web.archive.org/web/20201126151809/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Thu, 26 Nov 2020 15:18:09 GMT",
<http://web.archive.org/web/20201203045913/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Thu, 03 Dec 2020 04:59:13 GMT",
<http://web.archive.org/web/20201208212608/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Tue, 08 Dec 2020 21:26:08 GMT",
<http://web.archive.org/web/20210205222607/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 05 Feb 2021 22:26:07 GMT",
<http://web.archive.org/web/20210206193648/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sat, 06 Feb 2021 19:36:48 GMT",
<http://web.archive.org/web/20210228033543/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Sun, 28 Feb 2021 03:35:43 GMT",
<http://web.archive.org/web/20210331040335/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Wed, 31 Mar 2021 04:03:35 GMT",
<http://web.archive.org/web/20210416005249/https://secure.winred.com/teamhagerty/launch>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:49 GMT",
