<https://secure.actblue.com/donate/tk-homepage>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/tk-homepage>; rel="self"; type="application/link-format"; from="Thu, 20 Dec 2018 08:59:35 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/tk-homepage>; rel="timegate",
<http://web.archive.org/web/20181220085935/https://secure.actblue.com/donate/tk-homepage>; rel="first memento"; datetime="Thu, 20 Dec 2018 08:59:35 GMT",
<http://web.archive.org/web/20190625222226/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Tue, 25 Jun 2019 22:22:26 GMT",
<http://web.archive.org/web/20190627045123/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Thu, 27 Jun 2019 04:51:23 GMT",
<http://web.archive.org/web/20200817081405/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Mon, 17 Aug 2020 08:14:05 GMT",
<http://web.archive.org/web/20200920110544/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Sun, 20 Sep 2020 11:05:44 GMT",
<http://web.archive.org/web/20200920110545/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Sun, 20 Sep 2020 11:05:45 GMT",
<http://web.archive.org/web/20201018123806/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Sun, 18 Oct 2020 12:38:06 GMT",
<http://web.archive.org/web/20201022063310/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Thu, 22 Oct 2020 06:33:10 GMT",
<http://web.archive.org/web/20201107042152/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Sat, 07 Nov 2020 04:21:52 GMT",
<http://web.archive.org/web/20201125030038/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Wed, 25 Nov 2020 03:00:38 GMT",
<http://web.archive.org/web/20201203022837/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Thu, 03 Dec 2020 02:28:37 GMT",
<http://web.archive.org/web/20201208185459/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Tue, 08 Dec 2020 18:54:59 GMT",
<http://web.archive.org/web/20210205200059/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Fri, 05 Feb 2021 20:00:59 GMT",
<http://web.archive.org/web/20211018015427/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Mon, 18 Oct 2021 01:54:27 GMT",
<http://web.archive.org/web/20211018184439/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Mon, 18 Oct 2021 18:44:39 GMT",
<http://web.archive.org/web/20211020131657/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Wed, 20 Oct 2021 13:16:57 GMT",
<http://web.archive.org/web/20211021100611/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Thu, 21 Oct 2021 10:06:11 GMT",
<http://web.archive.org/web/20211223232406/https://secure.actblue.com/donate/tk-homepage>; rel="memento"; datetime="Thu, 23 Dec 2021 23:24:06 GMT",
