<https://secure.winred.com/ron-johnson/website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/ron-johnson/website>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:25 GMT",
<http://web.archive.org/web/https://secure.winred.com/ron-johnson/website>; rel="timegate",
<http://web.archive.org/web/20191014024725/https://secure.winred.com/ron-johnson/website>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:25 GMT",
<http://web.archive.org/web/20200809051137/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sun, 09 Aug 2020 05:11:37 GMT",
<http://web.archive.org/web/20200817105328/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Mon, 17 Aug 2020 10:53:28 GMT",
<http://web.archive.org/web/20200920162843/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sun, 20 Sep 2020 16:28:43 GMT",
<http://web.archive.org/web/20200927101259/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sun, 27 Sep 2020 10:12:59 GMT",
<http://web.archive.org/web/20201018162013/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sun, 18 Oct 2020 16:20:13 GMT",
<http://web.archive.org/web/20201030070203/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Fri, 30 Oct 2020 07:02:03 GMT",
<http://web.archive.org/web/20201107081529/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sat, 07 Nov 2020 08:15:29 GMT",
<http://web.archive.org/web/20201201051033/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Tue, 01 Dec 2020 05:10:33 GMT",
<http://web.archive.org/web/20201203051416/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Thu, 03 Dec 2020 05:14:16 GMT",
<http://web.archive.org/web/20201208213912/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Tue, 08 Dec 2020 21:39:12 GMT",
<http://web.archive.org/web/20210118033914/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Mon, 18 Jan 2021 03:39:14 GMT",
<http://web.archive.org/web/20210205223957/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Fri, 05 Feb 2021 22:39:57 GMT",
<http://web.archive.org/web/20210303204140/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Wed, 03 Mar 2021 20:41:40 GMT",
<http://web.archive.org/web/20210518071613/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Tue, 18 May 2021 07:16:13 GMT",
<http://web.archive.org/web/20210806210625/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Fri, 06 Aug 2021 21:06:25 GMT",
<http://web.archive.org/web/20211021024426/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Thu, 21 Oct 2021 02:44:26 GMT",
<http://web.archive.org/web/20211021121455/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Thu, 21 Oct 2021 12:14:55 GMT",
<http://web.archive.org/web/20211023004834/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sat, 23 Oct 2021 00:48:34 GMT",
<http://web.archive.org/web/20211024013923/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sun, 24 Oct 2021 01:39:23 GMT",
<http://web.archive.org/web/20220108004314/https://secure.winred.com/ron-johnson/website>; rel="memento"; datetime="Sat, 08 Jan 2022 00:43:14 GMT",
