<https://secure.winred.com/shelley-moore-capito/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/shelley-moore-capito/donate>; rel="self"; type="application/link-format"; from="Wed, 08 Apr 2020 05:10:55 GMT",
<http://web.archive.org/web/https://secure.winred.com/shelley-moore-capito/donate>; rel="timegate",
<http://web.archive.org/web/20200408051055/https://secure.winred.com/shelley-moore-capito/donate>; rel="first memento"; datetime="Wed, 08 Apr 2020 05:10:55 GMT",
<http://web.archive.org/web/20200627012114/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sat, 27 Jun 2020 01:21:14 GMT",
<http://web.archive.org/web/20200812154949/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 15:49:49 GMT",
<http://web.archive.org/web/20200817100951/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 10:09:51 GMT",
<http://web.archive.org/web/20200920162616/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sun, 20 Sep 2020 16:26:16 GMT",
<http://web.archive.org/web/20201018161825/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 16:18:25 GMT",
<http://web.archive.org/web/20201029173809/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 17:38:09 GMT",
<http://web.archive.org/web/20201105045607/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 04:56:07 GMT",
<http://web.archive.org/web/20201105045834/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 04:58:34 GMT",
<http://web.archive.org/web/20201106073015/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:30:15 GMT",
<http://web.archive.org/web/20201106123426/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:34:26 GMT",
<http://web.archive.org/web/20201107081411/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 08:14:11 GMT",
<http://web.archive.org/web/20201107174117/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 17:41:17 GMT",
<http://web.archive.org/web/20201107175028/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 17:50:28 GMT",
<http://web.archive.org/web/20201203051247/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Thu, 03 Dec 2020 05:12:47 GMT",
<http://web.archive.org/web/20201208213755/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 21:37:55 GMT",
<http://web.archive.org/web/20210120011103/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 01:11:03 GMT",
<http://web.archive.org/web/20210205223909/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Fri, 05 Feb 2021 22:39:09 GMT",
<http://web.archive.org/web/20210206194825/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sat, 06 Feb 2021 19:48:25 GMT",
<http://web.archive.org/web/20210331035944/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:59:44 GMT",
<http://web.archive.org/web/20210416005254/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:54 GMT",
<http://web.archive.org/web/20210422183003/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:30:03 GMT",
<http://web.archive.org/web/20210801204252/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Sun, 01 Aug 2021 20:42:52 GMT",
<http://web.archive.org/web/20211229023014/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Wed, 29 Dec 2021 02:30:14 GMT",
<http://web.archive.org/web/20211229024508/https://secure.winred.com/shelley-moore-capito/donate>; rel="memento"; datetime="Wed, 29 Dec 2021 02:45:08 GMT",
