<https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="self"; type="application/link-format"; from="Tue, 01 Oct 2019 14:58:16 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="timegate",
<http://web.archive.org/web/20191001145816/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="first memento"; datetime="Tue, 01 Oct 2019 14:58:16 GMT",
<http://web.archive.org/web/20191209214653/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Mon, 09 Dec 2019 21:46:53 GMT",
<http://web.archive.org/web/20200103010246/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Fri, 03 Jan 2020 01:02:46 GMT",
<http://web.archive.org/web/20200908003954/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Tue, 08 Sep 2020 00:39:54 GMT",
<http://web.archive.org/web/20200908004026/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Tue, 08 Sep 2020 00:40:26 GMT",
<http://web.archive.org/web/20200920111234/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 20 Sep 2020 11:12:34 GMT",
<http://web.archive.org/web/20200920111235/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 20 Sep 2020 11:12:35 GMT",
<http://web.archive.org/web/20201003225600/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 03 Oct 2020 22:56:00 GMT",
<http://web.archive.org/web/20201006035018/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Tue, 06 Oct 2020 03:50:18 GMT",
<http://web.archive.org/web/20201018124321/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 18 Oct 2020 12:43:21 GMT",
<http://web.archive.org/web/20201018235354/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 18 Oct 2020 23:53:54 GMT",
<http://web.archive.org/web/20201101022957/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 01 Nov 2020 02:29:57 GMT",
<http://web.archive.org/web/20201101082342/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sun, 01 Nov 2020 08:23:42 GMT",
<http://web.archive.org/web/20201107042744/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 07 Nov 2020 04:27:44 GMT",
<http://web.archive.org/web/20201109233527/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Mon, 09 Nov 2020 23:35:27 GMT",
<http://web.archive.org/web/20201114031621/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 14 Nov 2020 03:16:21 GMT",
<http://web.archive.org/web/20201118054928/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Wed, 18 Nov 2020 05:49:28 GMT",
<http://web.archive.org/web/20201118102441/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Wed, 18 Nov 2020 10:24:41 GMT",
<http://web.archive.org/web/20201118102448/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Wed, 18 Nov 2020 10:24:48 GMT",
<http://web.archive.org/web/20201118102513/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Wed, 18 Nov 2020 10:25:13 GMT",
<http://web.archive.org/web/20201118103525/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Wed, 18 Nov 2020 10:35:25 GMT",
<http://web.archive.org/web/20201119174308/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Thu, 19 Nov 2020 17:43:08 GMT",
<http://web.archive.org/web/20201121064456/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 21 Nov 2020 06:44:56 GMT",
<http://web.archive.org/web/20201121125350/http://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 21 Nov 2020 12:53:50 GMT",
<http://web.archive.org/web/20201121125351/https://secure.actblue.com/donate/paula-jean-swearengin-2020>; rel="memento"; datetime="Sat, 21 Nov 2020 12:53:51 GMT",
