<https://secure.actblue.com/donate/bendavid2020-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/bendavid2020-1>; rel="self"; type="application/link-format"; from="Mon, 24 Feb 2020 23:28:04 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/bendavid2020-1>; rel="timegate",
<http://web.archive.org/web/20200224232804/https://secure.actblue.com/donate/bendavid2020-1>; rel="first memento"; datetime="Mon, 24 Feb 2020 23:28:04 GMT",
<http://web.archive.org/web/20200627012306/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sat, 27 Jun 2020 01:23:06 GMT",
<http://web.archive.org/web/20200627012310/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sat, 27 Jun 2020 01:23:10 GMT",
<http://web.archive.org/web/20200725024921/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sat, 25 Jul 2020 02:49:21 GMT",
<http://web.archive.org/web/20200817111343/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Mon, 17 Aug 2020 11:13:43 GMT",
<http://web.archive.org/web/20200920111933/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sun, 20 Sep 2020 11:19:33 GMT",
<http://web.archive.org/web/20201002224248/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Fri, 02 Oct 2020 22:42:48 GMT",
<http://web.archive.org/web/20201002231226/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Fri, 02 Oct 2020 23:12:26 GMT",
<http://web.archive.org/web/20201006065016/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Tue, 06 Oct 2020 06:50:16 GMT",
<http://web.archive.org/web/20201018124841/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sun, 18 Oct 2020 12:48:41 GMT",
<http://web.archive.org/web/20201101093116/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sun, 01 Nov 2020 09:31:16 GMT",
<http://web.archive.org/web/20201105043705/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Thu, 05 Nov 2020 04:37:05 GMT",
<http://web.archive.org/web/20201107043342/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sat, 07 Nov 2020 04:33:42 GMT",
<http://web.archive.org/web/20210416135219/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Fri, 16 Apr 2021 13:52:19 GMT",
<http://web.archive.org/web/20211017060314/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sun, 17 Oct 2021 06:03:14 GMT",
<http://web.archive.org/web/20211017192646/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Sun, 17 Oct 2021 19:26:46 GMT",
<http://web.archive.org/web/20211019202605/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Tue, 19 Oct 2021 20:26:05 GMT",
<http://web.archive.org/web/20211020053657/https://secure.actblue.com/donate/bendavid2020-1>; rel="memento"; datetime="Wed, 20 Oct 2021 05:36:57 GMT",
