<https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="self"; type="application/link-format"; from="Sun, 29 Mar 2020 21:24:33 GMT",
<http://web.archive.org/web/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="timegate",
<http://web.archive.org/web/20200329212433/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="first memento"; datetime="Sun, 29 Mar 2020 21:24:33 GMT",
<http://web.archive.org/web/20200814235205/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Fri, 14 Aug 2020 23:52:05 GMT",
<http://web.archive.org/web/20200817111248/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Mon, 17 Aug 2020 11:12:48 GMT",
<http://web.archive.org/web/20200818155942/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Tue, 18 Aug 2020 15:59:42 GMT",
<http://web.archive.org/web/20200920121651/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sun, 20 Sep 2020 12:16:51 GMT",
<http://web.archive.org/web/20200927081440/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sun, 27 Sep 2020 08:14:40 GMT",
<http://web.archive.org/web/20201018132653/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sun, 18 Oct 2020 13:26:53 GMT",
<http://web.archive.org/web/20201029231916/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Thu, 29 Oct 2020 23:19:16 GMT",
<http://web.archive.org/web/20201105033331/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Thu, 05 Nov 2020 03:33:31 GMT",
<http://web.archive.org/web/20201107051506/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sat, 07 Nov 2020 05:15:06 GMT",
<http://web.archive.org/web/20201202040619/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Wed, 02 Dec 2020 04:06:19 GMT",
<http://web.archive.org/web/20201203031652/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Thu, 03 Dec 2020 03:16:52 GMT",
<http://web.archive.org/web/20201208193140/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Tue, 08 Dec 2020 19:31:40 GMT",
<http://web.archive.org/web/20210127234856/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Wed, 27 Jan 2021 23:48:56 GMT",
<http://web.archive.org/web/20210205204438/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Fri, 05 Feb 2021 20:44:38 GMT",
<http://web.archive.org/web/20210302083822/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Tue, 02 Mar 2021 08:38:22 GMT",
<http://web.archive.org/web/20210410223304/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sat, 10 Apr 2021 22:33:04 GMT",
<http://web.archive.org/web/20210509140446/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sun, 09 May 2021 14:04:46 GMT",
<http://web.archive.org/web/20210612180404/https://secure.anedot.com/lummis-for-wyoming-u-s-senate/general-donate>; rel="memento"; datetime="Sat, 12 Jun 2021 18:04:04 GMT",
